Id,appearedTimeOfDay,terrainType,closeToWater,city,continent,weather,temperature,windSpeed,pressure,weatherIcon,population_density,urban,suburban,midurban,rural,gymDistanceKm,gymIn100m,gymIn250m,gymIn500m,gymIn1000m,gymIn2500m,gymIn5000m,pokestopDistanceKm,pokestopIn100m,pokestopIn250m,pokestopIn500m,pokestopIn1000m,pokestopIn2500m,pokestopIn5000m,cooc_1,cooc_2,cooc_3,cooc_4,cooc_5,cooc_6,cooc_7,cooc_8,cooc_9,cooc_10,cooc_11,cooc_12,cooc_13,cooc_14,cooc_15,cooc_16,cooc_17,cooc_18,cooc_19,cooc_20,cooc_21,cooc_22,cooc_23,cooc_24,cooc_25,cooc_26,cooc_27,cooc_28,cooc_29,class
NzM4OTYzMzQxNTMyNzc1MDQ0NQ==,evening,13,FALSE,Bangkok,Asia,Clear,27.8,9,1008.96,clear-day,6019.0444,TRUE,TRUE,TRUE,FALSE,0.523759,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.14412,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
NDEwMjE0MzYwNzUyMjE2OTI0NQ==,night,13,TRUE,New_York,America,Clear,26.1,8.7,1018.96,clear-night,0,FALSE,FALSE,FALSE,TRUE,0.565267,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.198728,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
OTQ3NzU5MTA4MzgzODg2NzYxMw==,evening,0,TRUE,New_York,America,Clear,24.7,16.82,1023.22,clear-day,0,FALSE,FALSE,FALSE,TRUE,0.195366,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.070373,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
MTU2OTA5MTcyMDMzOTc0NzczODk=,morning,0,TRUE,Hobart,Australia,Clear,12.7,13.25,1014.19,clear-night,128.89505,FALSE,FALSE,FALSE,TRUE,0.190119,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.00392,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
NTE2OTkxNjE3OTUzODY0MTE4MQ==,evening,13,TRUE,Los_Angeles,America,PartlyCloudy,19.1,5.78,1011.36,partly-cloudy-day,4188.391,TRUE,TRUE,TRUE,FALSE,0.06612,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.071638,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
NDIxMTM5NjUwODY2MzMxNTQwNQ==,afternoon,13,FALSE,Kuching,Asia,Clear,25,1.88,1011.04,clear-day,411.31375,FALSE,TRUE,TRUE,FALSE,0.486327,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.486327,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
MTQyMzc1MTk5OTQ5NTU0NDYzOTc=,night,14,FALSE,Mexico_City,America,Clear,26.7,1.01,1018,clear-night,2431.2341,TRUE,TRUE,TRUE,FALSE,0.162035,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02096,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
NDIxODg3ODg5MTc0MjA0MDQ0NQ==,afternoon,0,TRUE,New_York,America,Clear,29.7,4.82,1019.61,clear-day,0,FALSE,FALSE,FALSE,TRUE,0.19374,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.024676,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
MTQyNTE3NTc3NzU4MjYzNDM5MTc=,night,13,FALSE,Chicago,America,PartlyCloudy,26.2,6.26,1012.09,partly-cloudy-day,849.44226,TRUE,TRUE,TRUE,FALSE,1.713196,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.713196,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
MTA0MjI1MTc0MjEzMzcyMzM0Mzc=,afternoon,0,TRUE,New_York,America,PartlyCloudy,28.1,6.43,1020.64,partly-cloudy-day,0,FALSE,FALSE,FALSE,TRUE,0.065424,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.129985,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
MTYzODEyMDg5NTI2OTg4NDM0NTM=,night,13,FALSE,Rome,Europe,PartlyCloudy,26.5,4.11,1017.79,partly-cloudy-day,1094.8889,TRUE,TRUE,TRUE,FALSE,0.164583,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.101505,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
MTc5OTI5MzI4ODE1MTI1NDgzMTc=,night,10,FALSE,Chicago,America,PartlyCloudy,29.3,9.85,1015.74,partly-cloudy-day,426.5022,FALSE,TRUE,TRUE,FALSE,2.915644,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.375139,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
