id,class
006F8606F6,2
00C22FC0EA,3
00CECD2708,3
0125D1C6C3,3
0158CDF991,2
01693B60FE,1
019AE1E661,2
01F03AFBFF,1
025D0E8105,2
030D460C87,0
0336FA0322,0
03FA0DF389,3
05835748A6,1
063C98F745,1
0665427E82,3
067AB43185,0
06C1A5D7F1,3
0835E0E6D8,4
08E1BA4B4B,2
09AC166B64,1
0A658E0936,1
0B450FA67F,3
0B5840229C,2
0B6830EE15,2
0B82408803,3
0BC06803FF,4
0CFF03FCC1,3
0E774B0EFE,0
0F1AF32C93,4
0F81941C18,0
107A44BC9B,4
11417923C1,2
11806D76AD,2
11DCA97731,0
128B157A7C,3
129970B6FE,2
130ACCD7F4,2
131DA4962D,3
13F52C4859,2
13F90261D1,4
153F77E255,0
169A298863,4
17643935EA,2
176CB0DE95,2
17905A3861,3
179DB57CE2,0
182DF51AF2,2
19885F0860,2
1989FCD6FD,3
1C702E88FB,4
1C7CAA6675,1
1D1A5C997D,2
1D435D2349,0
1D5632D249,3
1D7CC17833,2
1EF5FCF7BB,0
1F17AF4D18,3
1F74D6608F,2
226D535F81,4
22913884E4,2
22FABFA5B6,4
23ABA5AC47,1
245B736A2A,2
26CF244858,0
27C5695794,3
27CF23AB3C,0
2801F95BCD,2
2973205547,3
299878E723,1
29B9DC6F6A,2
29EC8E2C3E,2
2A593B6732,3
2B4377BC32,2
2B9A1CC814,3
2C500069BC,0
2C5D892869,3
2C5DAF4812,1
2D3D9A3F59,3
2E0B6E1A37,0
2F1E75AAD9,4
2F4B0CE443,2
30B1181054,3
31EA573B60,2
322681980E,2
32A1FDCCA5,3
3363E12CE8,0
36063E5BF3,0
369B636E2F,4
3773AAE60F,0
3787598C28,0
37BF313921,2
37CB8284E5,0
37E43239D9,0
3916F48FD9,4
39D563929F,4
39F36CD5CE,3
3A3A747A61,0
3B8478E1DC,1
3BB7D6834C,3
3C59DD40ED,4
3CE105CDCE,0
3D441D0702,3
3DAF13E671,4
3DF65C56B4,2
3E50C93D7D,1
3F018BA17C,3
3FF56F59D3,3
40366589C4,1
40AE4430D5,0
40F9EB7B00,4
40FD801394,2
416D521441,1
4296D798EE,0
4318710884,2
434941CB07,1
43A15DDE89,0
45C81E37B6,0
45D7BB6117,0
464A300EE0,2
46A3A23476,2
46F41217A1,0
46F586838F,4
4765841B3C,0
4943D43A89,3
49F1057AEC,0
49F34C8361,3
4AE404D189,3
4BA7ADB747,0
4BE6DFF18B,2
4C01D73073,3
4CA2009524,0
4D4BC8FBBC,4
4DD6718F6F,0
4DE7B7E5C9,2
4E264727D7,4
4F8DE26892,0
5086F1BCE6,3
50DE07F13F,1
5119433930,4
5138BADA49,1
521E693C46,0
52A9CD0385,4
53196A08B7,4
538CFE6771,4
5423C4446B,0
54DF054859,1
54F09F43B3,3
5535C96638,2
555F8536D8,3
561D588A9C,4
56283D543A,4
56A4659066,2
57134D9B71,0
573A0A9653,3
589C273545,3
58F41EE5BC,1
59DB41383B,2
5A10112C9B,1
5A408C6649,1
5C47D38531,0
5D24B9F7C4,0
5D8FC85BC6,3
5E03575727,3
5E586D29BD,4
5EBC1122F9,1
5F255A0964,4
6029B72300,0
6172FAF0DD,3
61B0E5C347,1
61F0DA5DF2,2
6247D7FCC7,3
62F7D4467D,1
63785071BD,4
6405326438,0
64F2DDA0AA,0
657F18C6AE,2
65BF2008F2,0
665B409AA0,1
6662BC3C54,0
66A1C2B33C,2
670514AFCC,3
68D0518F1D,3
695507C638,4
697C12FB69,3
6A2AF78282,1
6AB9C58C18,1
6C6AA226F1,3
6C946CC20B,3
6D0424D6E6,4
6D32029E0C,2
6D55955B1A,4
6D78411036,3
6DA96CC726,2
6E953384B2,1
6E962DAF7F,3
6E9F7168A6,3
6EC0AE705C,2
6F359C960F,3
6FB0E4EF88,4
6FEA832874,3
6FF97D0750,2
7000E8FB61,2
7042FD42EA,3
70BBCCA162,1
717E305DBA,3
730049E065,3
7300FE105D,3
7309305DB4,3
7344C88005,2
7350B1E247,4
759E1034C2,1
75FAA1BA1B,0
767EC89E7B,4
769AC28420,4
76AAF99B64,2
77B14A7C59,0
78328F7B5A,2
79238F26A6,1
796805FC8D,1
798013C730,1
7B0702E9FD,0
7B1861BDDA,4
7B8E172B66,3
7C3A14C530,1
7D0026F72E,4
7EE4993750,2
7F0F326EA2,0
7F181EDA25,0
808B09916A,2
81A37EC9AC,1
81BEE1F0DE,3
84353EE4DB,1
844427FE89,4
84B0E2153E,1
84BFE30019,4
864875FBBE,3
86B9F51B85,2
8722663F31,4
87A4969FED,3
87D160DF61,3
883538D253,2
88DE9A0DA4,3
896F257E36,1
89BB0929A5,2
89BD0A4EF1,2
89F11A1583,0
8A1BE95669,1
8B0CB98C5C,0
8C15F15BFE,1
8C3961969E,2
8C920CE63A,1
8CA573420D,2
8D4A3BB275,3
8D647EED28,0
8E4CB88CC5,1
8E5CC39832,0
8E8DBF8BCF,3
911995A7BB,1
933DD144D6,4
93AC3DA7A9,1
943EEFB9B6,3
944B3EC9DB,3
9480733643,4
94CFFD34C6,0
958E1D13DE,3
95A9B0E62F,4
95CA6CE44E,2
95E877744F,3
97C33A960F,4
987B12DA46,4
98B0A29127,3
98C927CF89,3
98DFCDCDF5,2
995C7B8D1E,1
99A4217569,2
