id,class
006F8606F6,2
00C22FC0EA,4
00CECD2708,0
0125D1C6C3,3
0158CDF991,3
01693B60FE,1
019AE1E661,2
01F03AFBFF,1
025D0E8105,2
030D460C87,1
0336FA0322,0
03FA0DF389,0
05835748A6,1
063C98F745,1
0665427E82,0
067AB43185,1
06C1A5D7F1,4
0835E0E6D8,4
08E1BA4B4B,2
09AC166B64,4
0A658E0936,4
0B450FA67F,3
0B5840229C,2
0B6830EE15,2
0B82408803,0
0BC06803FF,4
0CFF03FCC1,4
0E774B0EFE,0
0F1AF32C93,1
0F81941C18,0
107A44BC9B,4
11417923C1,0
11806D76AD,2
11DCA97731,2
128B157A7C,0
129970B6FE,3
130ACCD7F4,2
131DA4962D,3
13F52C4859,2
13F90261D1,4
153F77E255,1
169A298863,4
17643935EA,3
176CB0DE95,0
17905A3861,3
179DB57CE2,0
182DF51AF2,2
19885F0860,2
1989FCD6FD,3
1C702E88FB,4
1C7CAA6675,1
1D1A5C997D,2
1D435D2349,2
1D5632D249,3
1D7CC17833,2
1EF5FCF7BB,0
1F17AF4D18,0
1F74D6608F,2
226D535F81,4
22913884E4,2
22FABFA5B6,1
23ABA5AC47,1
245B736A2A,2
26CF244858,2
27C5695794,4
27CF23AB3C,0
2801F95BCD,0
2973205547,1
299878E723,1
29B9DC6F6A,2
29EC8E2C3E,2
2A593B6732,4
2B4377BC32,2
2B9A1CC814,1
2C500069BC,1
2C5D892869,0
2C5DAF4812,1
2D3D9A3F59,2
2E0B6E1A37,2
2F1E75AAD9,3
2F4B0CE443,2
30B1181054,4
31EA573B60,3
322681980E,2
32A1FDCCA5,2
3363E12CE8,4
36063E5BF3,1
369B636E2F,4
3773AAE60F,4
3787598C28,4
37BF313921,2
37CB8284E5,1
37E43239D9,4
3916F48FD9,4
39D563929F,4
39F36CD5CE,4
3A3A747A61,0
3B8478E1DC,0
3BB7D6834C,3
3C59DD40ED,0
3CE105CDCE,1
3D441D0702,3
3DAF13E671,1
3DF65C56B4,0
3E50C93D7D,0
3F018BA17C,3
3FF56F59D3,3
40366589C4,1
40AE4430D5,0
40F9EB7B00,0
40FD801394,2
416D521441,1
4296D798EE,2
4318710884,1
434941CB07,1
43A15DDE89,4
45C81E37B6,0
45D7BB6117,1
464A300EE0,1
46A3A23476,0
46F41217A1,1
46F586838F,4
4765841B3C,1
4943D43A89,3
49F1057AEC,4
49F34C8361,3
4AE404D189,3
4BA7ADB747,0
4BE6DFF18B,2
4C01D73073,4
4CA2009524,0
4D4BC8FBBC,4
4DD6718F6F,0
4DE7B7E5C9,2
4E264727D7,0
4F8DE26892,0
5086F1BCE6,3
50DE07F13F,0
5119433930,4
5138BADA49,0
521E693C46,2
52A9CD0385,4
53196A08B7,0
538CFE6771,4
5423C4446B,0
54DF054859,1
54F09F43B3,3
5535C96638,4
555F8536D8,3
561D588A9C,4
56283D543A,4
56A4659066,2
57134D9B71,0
573A0A9653,0
589C273545,1
58F41EE5BC,1
59DB41383B,1
5A10112C9B,0
5A408C6649,1
5C47D38531,1
5D24B9F7C4,2
5D8FC85BC6,0
5E03575727,3
5E586D29BD,4
5EBC1122F9,1
5F255A0964,1
6029B72300,1
6172FAF0DD,1
61B0E5C347,0
61F0DA5DF2,2
6247D7FCC7,4
62F7D4467D,1
63785071BD,4
6405326438,1
64F2DDA0AA,0
657F18C6AE,4
65BF2008F2,3
665B409AA0,1
6662BC3C54,1
66A1C2B33C,2
670514AFCC,3
68D0518F1D,3
695507C638,4
697C12FB69,0
6A2AF78282,1
6AB9C58C18,4
6C6AA226F1,3
6C946CC20B,4
6D0424D6E6,4
6D32029E0C,2
6D55955B1A,4
6D78411036,3
6DA96CC726,2
6E953384B2,1
6E962DAF7F,3
6E9F7168A6,3
6EC0AE705C,4
6F359C960F,3
6FB0E4EF88,4
6FEA832874,0
6FF97D0750,4
7000E8FB61,0
7042FD42EA,1
70BBCCA162,3
717E305DBA,0
730049E065,3
7300FE105D,3
7309305DB4,0
7344C88005,3
7350B1E247,4
759E1034C2,1
75FAA1BA1B,4
767EC89E7B,1
769AC28420,3
76AAF99B64,4
77B14A7C59,2
78328F7B5A,0
79238F26A6,1
796805FC8D,1
798013C730,1
7B0702E9FD,4
7B1861BDDA,4
7B8E172B66,2
7C3A14C530,0
7D0026F72E,4
7EE4993750,4
7F0F326EA2,4
7F181EDA25,1
808B09916A,2
81A37EC9AC,1
81BEE1F0DE,3
84353EE4DB,1
844427FE89,4
84B0E2153E,1
84BFE30019,4
864875FBBE,3
86B9F51B85,2
8722663F31,2
87A4969FED,1
87D160DF61,1
883538D253,2
88DE9A0DA4,3
896F257E36,1
89BB0929A5,3
89BD0A4EF1,0
89F11A1583,0
8A1BE95669,0
8B0CB98C5C,4
8C15F15BFE,1
8C3961969E,1
8C920CE63A,1
8CA573420D,0
8D4A3BB275,3
8D647EED28,0
8E4CB88CC5,1
8E5CC39832,4
8E8DBF8BCF,0
911995A7BB,1
933DD144D6,4
93AC3DA7A9,1
943EEFB9B6,0
944B3EC9DB,4
9480733643,4
94CFFD34C6,0
958E1D13DE,3
95A9B0E62F,3
95CA6CE44E,4
95E877744F,3
97C33A960F,4
987B12DA46,1
98B0A29127,1
98C927CF89,4
98DFCDCDF5,3
995C7B8D1E,1
99A4217569,2
9B1927E112,0
9B563E666C,3
9CC0364979,3
9E93633EC5,2
9F74FBB693,3
A044294D03,0
A06E7B2B3D,1
A2FBBCE882,1
A33867A445,4
A383435481,4
A43A8BE8B0,0
A450FE11D5,4
A465E89804,4
A4E04413DD,3
A5822E30CE,1
A595081686,0
A772C33ACC,1
A850C101B5,1
A9143FD0AE,1
AB001A03CC,4
ABA2AB52B9,2
AC9452A124,3
AD228F7669,1
AEC487159E,4
AFE75C7A36,1
B0885A6B6A,0
B17256020C,3
B32DC55C9C,3
B35961761D,4
B3764C086C,3
B4EA17A404,4
B509A8A1E7,4
B579D93F3C,3
B5838F3D73,1
B5844A85AD,3
B63DAB3AD8,2
B68637C002,1
B700AC2705,2
B7141FBE9E,2
B737DECC6E,3
B7C62F06E0,2
B7FEADE8E3,0
B94FC929D8,3
B9CA8A32DF,4
B9F95E901E,1
BA98021FA5,1
BA9DF7ADEE,3
BAF4F42D39,4
BB17006A63,3
BB745EA3C1,4
BBAC3FC2EE,4
BBB52E38C3,0
BC7E817CDE,4
BD5451DF52,1
BDAFB65A2A,3
BE23F3CC81,4
BE2CA92827,1
BE73FDE831,4
BE97527F24,0
BECC3BBD17,1
BF18A8E759,2
BF1D3224B2,0
BF61FFBC1C,3
BF6A21B516,0
BF9E70AFF9,2
C18C7E50D2,1
C19DB34416,2
C22F6173D7,1
C276EF0A58,4
C295EDF8BF,4
C2ADD7C478,1
C2EFD314BA,4
C30AD8A4A8,2
C3C880EF02,1
C3D8B23B69,2
C415C04F50,0
C4E0F2445F,3
C56B5CDC6B,3
C574183F0C,4
C5D38BB72E,0
C5EB5E8942,4
C687A5BC34,4
C722755EAE,4
C7CAFFAB34,3
C87E3F6C8A,0
CB067524B6,4
CB9FF88AAC,4
CC3137D213,1
CC487EB3FA,3
CCE602336F,0
CD5A8856CF,2
CEA1BAF3FD,4
CEA7DC65DD,0
CF26F3A06A,2
CF6636D979,0
D0EAEC6852,3
D0F620BA98,1
D10ED99F97,1
D12F125A33,3
D16FAB0C67,0
D1D54C7679,1
D2C2A30BBD,3
D3D911F948,1
D41ABE1C96,3
D55C79699E,0
D5775312BA,1
D5DC1D9EB8,3
D608B2F8EA,0
D620F72A3C,3
D789A56ECA,1
D83B73195D,1
D8A276BF30,3
D8DC2E8B30,3
D8EA9167E4,3
D916A67DAF,2
DA029182F0,4
DA7AE1BA0F,4
DAD8D52C28,4
DB7D4CBCF5,3
DB9EDFE750,2
DCBE5DDA63,4
DD6D7F2710,0
DE293981F6,0
DFBFBB1F34,3
E1B2E2B632,1
E2430869CF,0
E2BDD9164C,2
E37060B377,4
E48ECD7FB5,1
E6A9AED5E7,3
E6C7BCED4B,4
E7AE487D2D,1
E9D679FD27,3
EAAE22DA59,4
EAF9ED2E0D,1
EBE9C7DC11,1
EBEDB1DF7B,3
ECF1F26002,2
ED0602ECCF,0
EFEFE3ACC4,3
F036D71AF0,4
F187E09CD7,0
F1A140E07B,4
F1FB9BD260,1
F2CA25AB1A,4
F421E3CB34,3
F61B1BB71B,1
F67FC5C3E2,0
F86382F03A,3
F9607BA38B,4
F9F8F01AD0,0
FA228FC0CF,2
FAC04BFD86,3
FC072E93FE,1
FC4286FA19,2
FCED87FC66,2
FD7D1D9503,4
FDBBFB374B,1
FE1A7A2598,4
FE7571BBC1,1
FEE3BE9A0C,0
FF62AE7D8D,2
FF70B5A6CB,3
