id,content,type,date
1800000321,無法透過 CAMP 上SIT 系統 icon 的連接登入. 可否協助看一下這問題,CAMP,20180213
1800000321,無法透過 CAMP 上SIT 系統 icon 的連接登入. 可否協助看一下這問題,CAMP,20180213
1600001420,收到CAMP 簽核表單，開頭CAF_QRDC，不清楚這是什麼簽核表單,CAMP,20160604
1600001420,收到CAMP 簽核表單，開頭CAF_QRDC，不清楚這是什麼簽核表單,CAMP,20160604
1500003557,"無法會員登入,顯示訊息:無效的帳號或使用者不存在。帳號:96122401",CAMP,20151228
1900000199,因今天有事請假，要補登先前的加班，但開啟camp後，出勤表單顯示的內容看起來像測試的，沒有最近的時間也沒辦法使用，(已登出重登，但狀況還是一樣) 煩請協助確認是否資料異常?  因有事外出，請早上10點過後聯繫，感謝。,CAMP,20190125
1500001239,四月中時修改中英文姓名，Outlook已生效，但CAMP仍為舊名字。,CAMP,20150505
1500001239,四月中時修改中英文姓名，Outlook已生效，但CAMP仍為舊名字。,CAMP,20150505
1700000352,"手機簽核BPM有問題,都顯示亂碼  #18227",CAMP,20170208
1500002414,無法在手機上面使用CAMP進行表單簽核動作。分機：17132,CAMP,20150828
1500001816,CAMP上的會議室預約系統無法使用，煩請幫忙處理 #13931,CAMP,20150703
1500001816,CAMP上的會議室預約系統無法使用，煩請幫忙處理 #13931,CAMP,20150703
1600000612,分機: 17451  問題: 使用雲端會議功能時，無法設定預設群組，造成無法繼續選擇會議室預約,CAMP,20160315
1600000612,分機: 17451  問題: 使用雲端會議功能時，無法設定預設群組，造成無法繼續選擇會議室預約,CAMP,20160315
1500001669,資料不見，沒有顯示表單,CAMP,20150617
1500001669,資料不見，沒有顯示表單,CAMP,20150617
1800002603,帳號鎖住,CAMP,20181220
1500002136,"operation說以前用EC,現在改用CAMP; 廠商要使用CAMP, 但是operation沒有帳號  #385-13107",CAMP,20150805
1500002136,"operation說以前用EC,現在改用CAMP; 廠商要使用CAMP, 但是operation沒有帳號  #385-13107",CAMP,20150805
1500003562,iphone安裝完後無法使用,CAMP,20151228
1500003562,iphone安裝完後無法使用,CAMP,20151228
APP0001545,User 想詢問調撥PO(46)如何操作.,SAP-GS,20050920
APP0001575,如何開46PO,SAP-GS,20050921
APP0025634,申请CONSIGN料放量权限--268,SAP Issue,20090525
APP0025634,申请CONSIGN料放量权限--268,SAP Issue,20090525
APP0025612,申请Consign料放量权限,SAP Issue,20090522
APP0004498,"这张订单被BLOCK， 请帮忙砍掉。      FB23M003012 HDD BRACKET 23M (FB23M003,R3A)  2005/09/05  1050093010 00050 TEE-TEE               G05 04031010   2005/09/05 CS20              34             0                                34",SAP Issue,20051221
APP0004171,"请帮忙砍掉下面的订单， 我已经请EC的看过了， 未做packing, 但是被锁住了， 无法delete    2423MFBPL10 23M BETTER FRONT BEZEL ASSY  2005/10/06  1050097568 00030 FOG-FOX               G05 04031010   2005/11/10 CS20             576             0",SAP Issue,20051209
APP0003485,"2323MADPL09, 2423MFBPL10在218/268 中都有allocation, 但是在Release new  PR 时， 却无法抓到allocation,",SAP Issue,20051116
APP0003557,下面的订单被PACKING锁住  请将下面的订单砍掉  2433MFBPL03 33M FRONT BEZEL ASSY  2005/10/06  1050097574 00040 FOG-FOX               G05 04031010   2005/10/19 CS20             798           798        20.648000 USD         21.298000,SAP Issue,20051118
APP0026901,申请consign料放量权限,SAP Issue,20090817
APP0026901,申请consign料放量权限,SAP Issue,20090817
APP0006854,Unlock PO in 218. need cancel overdue PO. thanks!,SAP Issue,20060323
APP0010892,定单无法cancel！,SAP Issue,20070111
APP0031677,CONSIGN料放量。,SAP Issue,20100504
APP0006978,"1.PO NO:1050115619 couldn''t cancel this PO, systerm show:Quantity delivered differs form qty,invoiced.  2. How to cancel that systerm show ON WAY PO but actually no on way quantity.",SAP Issue,20060330
APP0002718,"从BAX pull 货,收料时SAP里面BALANCE的量不足,造成仓库无法收料,请帮忙解锁,谢谢",SAP Issue,20051024
APP0005780,"I want to cancel 531pc excess PO due to ""122 recovered PO"", thanks for releasing the block of 531pc.    AJ042500T07 IC(635P) 41E4250 (KOD,PBGA) EU  2005/09/17  5950004088 00040 QCI-IBM    IBN-IBM    J08 03089719   2005/09/26 CS20             531           531",SAP Issue,20060206
APP0017813,"電腦重灌後,安裝SAP相關軟體時似乎出現錯誤訊息,想詢問正確安裝方法  TEL:382-43441",SAP Issue,20071120
APP0017813,"電腦重灌後,安裝SAP相關軟體時似乎出現錯誤訊息,想詢問正確安裝方法  TEL:382-43441",SAP Issue,20071120
APP0013700,Lansmont的厂商vendor已申请好。号码为200004122F。现显示出来的厂商名称为            Lansmont厂商vendor code已申请好，号码为200004122F。现开PO时显示出来的厂商名称为*。因申请vendor code是修改原先的厂商资料，没想到厂商名称会显示出这个。因SDA一设备的部件损坏，厂商以旧换新，新部件已到，报关迫在眉睫，会有滞港费用，所以需要尽快开PO。请MIS帮助修改一下厂商名称简称为Lansmont。,SAP Issue,20070403
APP0013700,Lansmont的厂商vendor已申请好。号码为200004122F。现显示出来的厂商名称为            Lansmont厂商vendor code已申请好，号码为200004122F。现开PO时显示出来的厂商名称为*。因申请vendor code是修改原先的厂商资料，没想到厂商名称会显示出这个。因SDA一设备的部件损坏，厂商以旧换新，新部件已到，报关迫在眉睫，会有滞港费用，所以需要尽快开PO。请MIS帮助修改一下厂商名称简称为Lansmont。,SAP Issue,20070403
APP0011001,请增加05013002在218、208、268、298的SAP权限，copy04061009在268的权限（因工作调动，急须开通权限）。,SAP Issue,20070115
APP0011098,请增加05013002在268（new）中zfbl的权限（因工作调动，急需使用）,SAP Issue,20070116
APP0010742,我的SAP不能将文件（Packing List & Invoice )Download to Exel file and PDF file.  请帮忙解决，非常感谢！,SAP Issue,20070106
APP0011085,run zn26 有错误，因为在2x8里的master data 不完整，group key 没有维护，group key维护成168里对应的soldto 即可,SAP Issue,20070116
APP0011085,run zn26 有错误，因为在2x8里的master data 不完整，group key 没有维护，group key维护成168里对应的soldto 即可,SAP Issue,20070116
APP0011117,CS50 PO:1030076018 item00020 用Me23 查询出的Posting Date 和用Fbl1 查询显示的PostingDate不一致！  GR：5000171239 item 00010  GR：5000194871 item 00010,SAP Issue,20070116
APP0011450,SAP无法登陆！,SAP Issue,20070122
APP0014668,申请开放208/268/298的Z V V 2权限，用于SAP与EC帐号维护！,SAP Issue,20070522
APP0004709,"Please help to add 50pcs for PO#1050108607 for entering account a.s.a.p, thanks,",SAP Issue,20051227
APP0009477,"欲在298 系統內建立 customer data, 請問如何設定??  連絡人工號: 91110149  ext:12650",SAP Issue,20060919
APP0011083,下列是2006/12/12 转的Request ，298 没有转成功，请帮忙重新转一下  TMPK976477            SMART FORM FOR ZCL5  TMPK977762            structure zblbds  TMPK977770            styles  TMPK977794            ZCOBLB TABLE,SAP Issue,20070116
APP0007363,User wants to know how the T-Code ( ZMAZ ) is calculating the cost  Please help to guide him.,SAP-GS,20060420
APP0007363,User wants to know how the T-Code ( ZMAZ ) is calculating the cost  Please help to guide him.,SAP-GS,20060420
APP0019526,詢問如何查詢QCA及QCG材料庫存,SAP-GS,20080321
APP0019526,詢問如何查詢QCA及QCG材料庫存,SAP-GS,20080321
APP0011236,"请帮忙处理一下这个料号10A2BXZTA01 单位不匹配问题,否则没办法转仓,我们今天要拆解这台机器,谢谢!",SAP Issue,20070117
APP0011236,"请帮忙处理一下这个料号10A2BXZTA01 单位不匹配问题,否则没办法转仓,我们今天要拆解这台机器,谢谢",SAP Issue,20070117
APP0011623,batch 有效期错误,SAP Issue,20070124
APP0011215,ZP78 数据处理,SAP Issue,20070117
