,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_answer_name,6_y_predict_probability
6601,"訪客,透過,公司,網路,連回,訪客,公司",0,Outlook與郵件,3,網路,[0.9030911 0.0969089]
6551,"北棟,2,樓,警衛室,顯示,網頁",1,SAP,3,網路,[0.4608363 0.5391637]
8471,"類型,使用,proxy,172.20,168.133,port,80,進行,網路,連線,遇到,限制,網頁,須,點選,同意,進入,網頁",0,Outlook與郵件,3,網路,[0.85377836 0.1462216 ]
2765,"b,北棟,2f,網路,不通",0,Outlook與郵件,3,網路,[0.5128045  0.48719552]
2361,"網路,芳鄰,到,ap,ip,10.242,232.204,完,密碼,重,開機,後",0,Outlook與郵件,3,網路,[0.5340157  0.46598434]
9363,"ecn,no,e0,轉入,218",0,Outlook與郵件,1,SAP,[0.86328435 0.13671564]
14087,"申請,會議室,無線網路",0,Outlook與郵件,3,網路,[0.7926177  0.20738234]
146,"an,治具,server,原為,zohan,已轉,部門,而此,設備,需要,入,廣達,網域,能否,不用,登入,方式,使用,server,自設,密碼,入,廣達,網域,移除,原本,zohan,帳密,能否,遠端,方式,協助,改成",1,SAP,3,網路,[0.37278575 0.62721425]
11975,"福委會,payeasy,合作,但常,接獲,反映,連線,payeasy,福委",1,SAP,3,網路,[0.43364117 0.5663588 ]
1333,"回家,登入,sap,有時,okay,有時,fail",0,Outlook與郵件,3,網路,[0.76566774 0.23433223]
11704,"新,進,尚未,領取,電腦,希望,網路,連線,進行,工作",0,Outlook與郵件,3,網路,[0.88612336 0.11387666]
5315,"outlook,游標,圖示,顯示,成掌形,符號,複製,文字,開,word,網頁,游標,正常,箭頭,符號",1,SAP,0,Outlook與郵件,[0.28304777 0.71695226]
9367,"客戶,無線,網帳號,密碼",0,Outlook與郵件,3,網路,[0.6396855 0.3603145]
12161,"南棟,3f,ccub,孔號,c59",1,SAP,3,網路,[0.3879639  0.61203617]
10302,"正常,無線網路",1,SAP,3,網路,[0.08763157 0.9123684 ]
8910,"一臺,備用,電腦,win,作業系統,網域",0,Outlook與郵件,3,網路,[0.9182778  0.08172219]
3779,"網孔,編號,pl22b262",0,Outlook與郵件,3,網路,[0.8712334  0.12876658]
1029,"舊廠,整層,網路,不通",0,Outlook與郵件,3,網路,[0.8184949  0.18150505]
12425,"公司,內網",0,Outlook與郵件,3,網路,[0.71345776 0.28654224]
7945,"網路,孔,正常,使用",1,SAP,3,網路,[0.16471933 0.8352807 ]
2522,"網孔,pr06,c414",0,Outlook與郵件,3,網路,[0.89032626 0.10967366]
7044,"密碼,過期,網路",0,Outlook與郵件,3,網路,[0.7872999  0.21270014]
9634,"工作,機,連接,staff,wifi,訊號,薄弱,時有時無",0,Outlook與郵件,3,網路,[0.8595354  0.14046457]
2342,"進入,後,發生,網路,存取,錯誤",0,Outlook與郵件,1,SAP,[0.9523918  0.04760814]
12340,"利用,公司,網路,連線到,客戶,bug,系統,頁面,呈現,網站,9,月份,時有,連線,過是,正常,成功,連線,利用,分享,網路,筆電,時也,成功,連線,客戶,bug,系統,網址",1,SAP,3,網路,[0.35825267 0.64174736]
11121,"權限,登入,bms,理,詢問",0,Outlook與郵件,4,資訊系統,[0.7059541  0.29404595]
10478,"兩天,前,已,填過,問題,問題,網路,不通,急",0,Outlook與郵件,3,網路,[0.8187041 0.1812959]
1885,"廠商,ftp",0,Outlook與郵件,2,其他,[0.583099 0.416901]
7701,"qrdc,can,not,go,to,techview,shopfloor,172.24,122,x",0,Outlook與郵件,3,網路,[0.8528409  0.14715904]
10742,"北棟,五樓,晶片,系統,實驗室,網路,全部,不通",0,Outlook與郵件,1,SAP,[0.6838508  0.31614918]
5547,"信箱,已滿,超過,600mb,升級,到,10gb,pm,工作,需要",1,SAP,0,Outlook與郵件,[0.36973825 0.6302617 ]
962,"家裡,連回,公司",0,Outlook與郵件,3,網路,[0.9475285  0.05247151]
3193,"重灌,電腦,需要,重新,設定,網域",1,SAP,3,網路,[0.2795663  0.72043365]
13869,"adobe,reader,dc,程式,安裝,目前,讀,pdf,檔案",0,Outlook與郵件,2,其他,[0.5661205 0.4338795]
588,"network,broken",0,Outlook與郵件,3,網路,[0.7530402  0.24695978]
5979,"收發,郵件,設定,問題",0,Outlook與郵件,3,網路,[0.96047324 0.03952672]
8766,"電腦,中毒,網頁,綁架,螢幕保護程式,異常,周六,即要,需請,it",0,Outlook與郵件,2,其他,[0.75841755 0.24158242]
5107,"mail,有時,收不到,有延,遅,收到,mail,狀況,發生",1,SAP,0,Outlook與郵件,[0.14177337 0.85822666]
3127,"目前,提供,電腦,連回,myquanta",0,Outlook與郵件,3,網路,[0.9329329 0.0670671]
