description,category_a,category_b,category_c,category_d,category,description_clean,category_target
下面issue 無法open…完成後會跳到另外一個issue   但原本issue 未Open完成      再麻煩幫忙看一下  感謝了!!      T-0029131 The screen is lag while the system is recording by Metro UI and Arcosoft 2.High Camera Firmware Draft Open The screen is lag while the system is recording by Metro UI and Arcosoft 6.2.9200.225 logo R1100V8 RC1 Win8.1-64 KR1A 2013/11/21 下午 05:04:41 Shan Chen,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,下麵 無法open…完成後會跳到一個   但原本 未open完成      再幫忙看一下  了      t31 the screen is lag wle the system is recording by metro ui and arcosoft 2.gh camera firmware draft open the screen is lag wle the system is recording by metro ui and arcosoft 6.2..225 logo rv8 rc1 win8.164 kr1a /11/21 下午  s,1
"1. Issue Status秀出來的文字裡面,出現斷行符號,但實際上看不到斷行效果  2. Issue assign出去時,會有通知信告知issue owner,但現在都會漏信,很多人反應都收不到通知",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,1.  status秀出來的文字裡面出現斷行符號但實際上看不到斷行效果  2.  assign出去時會有通知信告知 owner但現在都會漏信都收不到通知,1
"QCMC那邊的測試人員反應無法使用QITS系統,原本NB7的使用權限被刪除,如附件一  另外原本已被刪除的權限,現在又跑出來,如附件二  麻煩儘快幫忙處理",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,的測試人員反應qits系統原本nb7的使用權限被刪除如附件一  原本已被刪除的權限現在又跑出來如附件二,1
Chris Wu (吳振瑋)  新增 BU3 bios   人員,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,新增 bu3 bios   人員,1
Please help create new platform-Chipset “AMD Richland”.,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,please help create new platformcpset “amd richland”,1
"QITS -> Analysis -> Issue Type Solving Time  會出現錯誤: ""The ''STATUS'' parameter is missing a value """,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,qits  analysis   type solving time  會 the ''status'' parameter is missing a value,1
QITS 建立外部帳號，外部帳號開通後，從 e-mail 提示的 URL 連 QITS 會出現伺服器錯誤  不知道是否跟操作環境有關，有 screenshot 可供參考,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,qits 建立外部帳號外部帳號開通後從 email 提示的 url 連 qits 會出現伺服器錯誤  不知道是否跟操作環境有 screenshot 可供參考,1
LCBU-QITS 申請開通 Analysis 功能。  目前 LCBU-QITS 系統缺少 Analysis button 及功能，請協助 enable it，謝謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,lcbuqits 申請開通 analysis 功能  目前 lcbuqits 系統缺少 analysis button 及功能 enable it,1
MRO系統 收料時出現錯誤。,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,mro系統 收料時,0
"APP0247060 該同仁98100545 吳敏浩已離職,但無法回覆至非驗收狀態,煩請協助取消驗收,,謝謝!!",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,BPM平台系統,app60 該 吳敏浩已離職但無法回覆至非驗收狀態協助取消驗收,0
MRO2單無權限開啟。分機：213931,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,BPM平台系統,mro2單無權限開啟1,0
發票作業無法進行,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,發票作業無法進行,0
"#16750, 無法送出，連線逾時",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,無法送出連線逾時,0
MRO簽核金額  WEP PO下單金額 ，已先與WEBPO系統 Owner Detoun Chen做詢問但沒結果，開單請求協助，謝謝．  提供異常MRO單號::1800027021(PO no.:1710054610)及1600019395(PO no.:1910026171),BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,mro簽核金額  wep po下單金額 已先與webpo系統 owner detoun chen做詢問但沒開單請求協助.  提供異常mro單號po no.及po no,0
key了發票無法儲存,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,key了發票無法儲存,0
在送出MRO申請單時，出現部門分攤比例不可大於100%，但實際加總為100%  分機：17292,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,在送出mro申請單時出現部門分攤比例不可大於100%但實際加總為100%,0
