description,category_a,category_b,category_c,category_d,category,description_clean,category_target
"無法會員登入,顯示訊息:無效的帳號或使用者不存在。帳號:96122401",CAMP,CAMP,CAMP,CAMP,資訊系統,無法會員登入 顯示訊息 無效的帳號或不存在 帳號,4
因今天有事請假，要補登先前的加班，但開啟camp後，出勤表單顯示的內容看起來像測試的，沒有最近的時間也沒辦法使用，(已登出重登，但狀況還是一樣) 煩請協助確認是否資料異常?  因有事外出，請早上10點過後聯繫，感謝。,CAMP,CAMP,CAMP,CAMP,資訊系統,因有事請假 要補登先前的加班 但開啟camp後 出勤表單顯示的內容像測試的 沒有的時間也沒辦法使用  已登出重登 但狀況  是否資料異常   因有事外出 請早上10點過後聯繫,4
"手機簽核BPM有問題,都顯示亂碼  #18227",CAMP,CAMP,CAMP,CAMP,資訊系統,簽核BPM有問題 都顯示亂碼,4
無法在手機上面使用CAMP進行表單簽核動作。分機：17132,CAMP,CAMP,CAMP,CAMP,資訊系統,無法在上面使用CAMP進行表單簽核動作,4
"出差同仁無法登入camp, 委請同事詢問",CAMP,CAMP,CAMP,CAMP,資訊系統,出差同仁無法登入camp,4
"請問一下，為什麼我進入CAMP，在會員中心點選""應用程式""卻找不到""研發服務雲""可點選?  該如何解決?",CAMP,CAMP,CAMP,CAMP,資訊系統,我進入CAMP 在會員中心點選 應用程式 卻找不到 研發服務雲 可點選   該,4
用手機CAMP要簽核電腦外帶攜出申請單，出現應用程式發生錯誤 #15189,CAMP,CAMP,CAMP,CAMP,資訊系統,用CAMP要簽核電腦外帶攜出申請單 出現應用程式發生錯誤,4
研發服務雲 > 偕同開發 > 新增專案 : 無法新增 J51 or J51D 專案 for PCB 發包( Error Code: 相同專案名稱已存在),CAMP,CAMP,CAMP,CAMP,資訊系統,研發服務雲   偕同開發   新增專案   無法新增 J51 or J51D 專案 for PCB 發包  Error Code  相同專案名稱已存在,4
"進入 CAMP 「研發服務雲」的icon 沒有進一步的資訊 , 畫面空白,沒有發包選單",CAMP,CAMP,CAMP,CAMP,資訊系統,進入 CAMP 「研發服務雲」的icon 沒有進一步的資訊   畫面空白 沒有發包選單,4
"在CAMP平台點選""應用程式""找不到""研發服務雲""可以點選，請問該如何解決?",CAMP,CAMP,CAMP,CAMP,資訊系統,在CAMP平臺點選 應用程式 找不到 研發服務雲 可以點選,4
預報加班系統異常.主管簽核完成後仍然顯示預報中.,CAMP,CAMP,CAMP,CAMP,資訊系統,預報加班系統異常.簽核完成後顯示預報中,4
"想確認一下CAMP Drive 不能使用,點選進去顯示: 已配置空間：0G　已使用空間：20.9 KB , 之前是關閉雲端, 現在是用本機收信,是否跟這個有相關, 謝謝~",CAMP,CAMP,CAMP,CAMP,資訊系統,想一下CAMP Drive 使用 點選進去顯示  已配置空間 0G 已使用空間 20.9 KB   之前是關閉雲端  現在是用本機收信 是否跟有相關,4
材料異常管理流程有疑問,CAMP,CAMP,CAMP,CAMP,資訊系統,材料異常管理流程有疑問,4
我在 20181008 有用手機的 CAMP (我的出勤) 來申報加班 (20181004)  因為我要完成上星期的加班申請  我還送了二次，確定都有點 Trans it  但是，結果是根本沒送出去...   請問這該怎麼辦?,CAMP,CAMP,CAMP,CAMP,資訊系統,我在  有用的 CAMP  我的出勤  來申報加班     我要完成的加班申請  我還送了二次 確定都 Trans it   是根本沒送出去...   請問這該,4
Error code 88,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,Error code 88,1
無法進入SAP268，請幫忙處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,無法進入SAP268,1
218用部門帳號進不去  ext.15856,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,218用部門帳號進不去,1
218無法登入login失敗,SAP-2X8(QSMC),Basis,帳號,新申請,SAP,218無法登入login失敗,1
SAP218 無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,SAP218 無法登入,1
298無法logon --修改路徑完成,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,298無法logon   修改路徑完成,1
298無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,298無法login,1
無法登入顯示CS33錯誤,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,無法登入顯示CS33錯誤,1
"使用者登入SAP,出現 Error Message_Type_X 的錯誤訊息.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,登入SAP 出現 Error Message_Type_X 的錯誤訊息,1
使用chrome / IE無法點請假單的日期,BPM平台系統,資訊類相關服務,19999問題單,相關操作詢問,資訊系統,使用chrome / IE無法點請假單的日期,4
下面issue 無法open…完成後會跳到另外一個issue   但原本issue 未Open完成      再麻煩幫忙看一下  感謝了!!      T-0029131 The screen is lag while the system is recording by Metro UI and Arcosoft 2.High Camera Firmware Draft Open The screen is lag while the system is recording by Metro UI and Arcosoft 6.2.9200.225 logo R1100V8 RC1 Win8.1-64 KR1A 2013/11/21 下午 05:04:41 Shan Chen,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,下麵 無法open…完成後會跳到一個   但原本 未Open完成      再幫忙看一下  了        T 31 The screen is lag wle the system is recording by Metro UI and Arcosoft 2.gh Camera Firmware Draft Open The screen is lag wle the system is recording by Metro UI and Arcosoft 6.2.9200.225 logo R1100V8 RC1 Win8.1 64 KR1A 2013/11/21 下午 05 04 41 Shan Chen,4
"1. Issue Status秀出來的文字裡面,出現斷行符號,但實際上看不到斷行效果  2. Issue assign出去時,會有通知信告知issue owner,但現在都會漏信,很多人反應都收不到通知",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,1.  Status秀出來的文字裡面 出現斷行符號 但實際上看不到斷行效果  2.  assign出去時 會有通知信告知 owner 但現在都會漏信 都收不到通知,4
"QCMC那邊的測試人員反應無法使用QITS系統,原本NB7的使用權限被刪除,如附件一  另外原本已被刪除的權限,現在又跑出來,如附件二  麻煩儘快幫忙處理",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,的測試人員反應無法使用QITS系統 原本NB7的使用權限被刪除 如附件一  原本已被刪除的權限 現在又跑出來 如附件二,4
Chris Wu (吳振瑋)  新增 BU3 bios   人員,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,Chris Wu  吳振瑋   新增 BU3 bios   人員,4
Please help create new platform-Chipset “AMD Richland”.,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,Please help create new platform Cpset “AMD Richland”,4
