description,category_a,category_b,category_c,category_d,category,description_clean,category_target
Error code 88,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,Error code 88,1
無法進入SAP268，請幫忙處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,無法進入SAP268,1
218用部門帳號進不去  ext.15856,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,218用部門帳號進不去,1
218無法登入login失敗,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,218無法登入login失敗,1
SAP218 無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,SAP218 無法登入,1
298無法logon --修改路徑完成,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,298無法logon   修改路徑完成,1
298無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,298無法login,1
無法登入顯示CS33錯誤,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,無法登入顯示CS33錯誤,1
"使用者登入SAP,出現 Error Message_Type_X 的錯誤訊息.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,登入SAP 出現 Error Message_Type_X 的錯誤訊息,1
使ECN:E200510-0770尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,使ECN E0 0770儘快在268生效,1
298   MM02   quanta PN#   Sales view  沒有maintain  quanta PN#: FAQN9001011    分機: 2649,SAP-2X8(QSMC),SD,Master Data,Sales view maintain,SAP-2X8,298   MM02   quanta PN    Sales view  沒有maintain  quanta PN   FAQN11      2649,1
"USER反應ECN已經到SAP168,但在SAP268還找不到資料,煩請相關同仁協助處理.",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ECN已經到SAP168 但在SAP268還找不到資料 相關同仁,1
E200509-4814   FBS04001016应变为FR状态,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,E9 4814   FBS應變為FR狀態,1
"新增customer 資料,送出後看不到付款方式",SAP-2X8(QSMC),SD,Master Data,Customer issue,SAP-2X8,新增customer 資料 送出後看不到付款方式,1
希望使ECN：E200509-3959，E200510-0181 尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,希望使ECN E9 9 E0 0181 儘快在268生效,1
"User 反應 218端BOM 用量不對,料號3123MMB00B5,請速連繫# 3158",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,218端BOM 用量 料號3123MMB00B5 請速連繫  3158,1
目前人在QSMC出差 需要查QSMC庫存  請幫忙遠端安裝SAP軟體  謝謝,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,需要查庫存  請幫忙遠端安裝SAP軟體,1
Password似乎有問題無法進SAP208，麻煩處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,Password似乎有問題無法進SAP208,1
268在第二層LOGIN無法順利登入   分機:15820,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,268在第二層LOGIN無法順利登入,1
sap 208 無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap 208 無法login,1
268 logon fail,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,268 logon fail,1
"同仁SAP 268顯示他帳號已經logon 無法再次login, 煩請協助處理",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,同仁SAP 268顯示他帳號已經logon 無法再次login,1
"MYQUANTA的內部應用看不到SAP Icon ,之前可以看.user目前人在大陸",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,MYQUANTA的內部應用看不到SAP Icon  之前可以看,1
"到My Quanta 內部應用系統,無法登入SAP~請幫忙",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,到My Quanta 內部應用系統 無法登入SAP 請幫忙,0
使用者已裝了cirtix，但無法在內部應用系統的網頁中看到SAP的icon,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,已裝了cirtix 但無法在內部應用系統的網頁中看到SAP的icon,0
無法logon CSAP23,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,無法logon CSAP23,0
user登入SAP後無法動作.,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,登入SAP後無法動作,0
"SAP帳號87042501,無法登入，分機17727",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,SAP帳號 無法登入,0
密碼輸入錯誤被鎖住  請協助幫忙,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP-168,密碼輸入錯誤被鎖住  請協助幫忙,0
