,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
2624,"SAP,168,QCI, ,ZMD5, ,PROCESS",0,BPM平台系統,4,"[9.9854004e-01 1.1169290e-06 3.8311873e-06 9.0964715e-04 4.2652382e-04
 1.1372124e-04 1.7551564e-06 3.3608540e-06]"
7212,"SAP,168,QCI, ,帳號, ,808, , ,TEL",0,BPM平台系統,4,"[9.9852020e-01 1.2991412e-06 4.5238703e-06 9.8667282e-04 3.5357469e-04
 1.2851170e-04 1.9555573e-06 3.3347865e-06]"
6328,"SAP,168,QCI, ,user,無,sap,權限",0,BPM平台系統,4,"[9.9622107e-01 1.4747121e-06 4.4631129e-06 1.2640213e-03 2.3612909e-03
 1.3684070e-04 2.4575925e-06 8.4765225e-06]"
1457,"SAP,168,QCI, ,168, ,zkd5, ,料號,出不來",0,BPM平台系統,4,"[9.9852294e-01 1.2291507e-06 4.2518091e-06 9.5852837e-04 3.8564557e-04
 1.2225748e-04 1.8848153e-06 3.4132397e-06]"
4,"CAMP, ,四月,中時,修改,中英文,姓名, ,Outlook,已,生效, ,CAMP,仍為,舊,名字",6,內部資訊系統,1,"[1.9107795e-06 2.8052176e-03 4.2197152e-04 1.5073246e-06 1.1807973e-06
 6.8423753e-05 9.9633884e-01 3.6095857e-04]"
2761,"SAP,2X8,QSMC, ,VA01,新增,SO,時, ,出現,错誤",2,GOC,5,"[5.6351175e-05 1.6880432e-01 7.6435637e-01 1.3542571e-03 3.6569436e-05
 5.4366075e-02 1.0911385e-02 1.1460141e-04]"
9774,"SAP,168,QCI, ,cs15, ,runtime, ,error",0,BPM平台系統,4,"[9.9843723e-01 1.2044793e-06 4.1038561e-06 9.5399364e-04 4.7790474e-04
 1.1997539e-04 1.8863583e-06 3.7313689e-06]"
5525,"SAP,168,QCI, ,user,反應,ZKD5,中看,不到,資料, ,文件,中心,說,已經,送上去, ,聯絡",0,BPM平台系統,4,"[9.9813902e-01 2.0962900e-06 7.2770154e-06 1.3846154e-03 2.6772765e-04
 1.9312797e-04 2.7226965e-06 3.2811120e-06]"
584,"CAMP, ,護照,簽證,申單, , ,原先,申,件,已,完成,簽核, ,中間,需改,急件,申, ,現,旅行社,已先,代辦,完成, ,原先,申單,無法,自行,抽單, ,告知,是否,抽單,重新,申, ,方式",6,內部資訊系統,1,"[2.3552131e-05 4.4541407e-01 7.1354993e-02 1.9234674e-04 3.6194931e-05
 3.0680022e-03 4.7805485e-01 1.8559324e-03]"
10898,"SAP,168,QCI, ,詢問,cradit,使用,方法",0,BPM平台系統,4,"[9.9862945e-01 1.3847718e-06 4.8877055e-06 9.8741858e-04 2.3528216e-04
 1.3695477e-04 1.9879801e-06 2.7172055e-06]"
3843,"SAP,168,QCI, ,user,表示,說,ECN,資料,未,同步",0,BPM平台系統,4,"[9.9855405e-01 1.4838606e-06 5.1955417e-06 1.0153691e-03 2.7827985e-04
 1.4030233e-04 2.1321930e-06 3.1537297e-06]"
8322,"SAP,168,QCI, ,希望,SAP, ,print, ,功能, ,直接,印成,PDF,檔案,儲存,本機,中",0,BPM平台系統,4,"[9.6196210e-01 4.1324315e-06 9.8189857e-06 2.6836460e-03 3.5018206e-02
 2.7088460e-04 6.8340323e-06 4.4359702e-05]"
1243,"BPM,平台,系統, ,簽核,無法,順利,完成",1,CAMP,0,"[1.7800983e-05 4.6928436e-01 7.4687399e-02 1.6991902e-04 2.6333273e-05
 2.8484620e-03 4.5147163e-01 1.4941036e-03]"
2255,"SAP,168,QCI, ,要將,SAP, ,ZF51,中,固定,資產,資料,轉成,Excel,檔, ,無法,成功,存檔",0,BPM平台系統,4,"[9.95391130e-01 1.99329224e-06 5.92992183e-06 1.45291351e-03
 2.96643330e-03 1.66761325e-04 3.23438985e-06 1.15859775e-05]"
1697,"R,D,資訊,系統, ,ProE,借不到,License, , ,錯誤,視窗, , , ,96, ,License, ,server, ,machine, ,is, ,down, ,or, ,not, ,responding, , ,這是,serve,問題, , , , ,原因, , , , ,已經,先連,Quanta, ,SSLVPN, , , ,我人,美國,出差, ,能否,盡速,問題",6,內部資訊系統,3,"[3.29224044e-04 1.07897110e-02 2.95666535e-03 1.19551885e-04
 8.79843064e-05 9.65278246e-04 9.54403341e-01 3.03481296e-02]"
22885,"SAP,168,QCI, ,無法,logon, ,SAP",0,BPM平台系統,4,"[9.9747401e-01 1.2877175e-06 4.0854361e-06 1.0869631e-03 1.3016951e-03
 1.2342734e-04 2.1270635e-06 6.2956551e-06]"
198,"SAP,168,QCI, ,欲,新增,SAP,帳號, , ,詢問,操作",0,BPM平台系統,4,"[9.9736720e-01 1.5324414e-06 4.8038396e-06 1.1536073e-03 1.3272419e-03
 1.3617695e-04 2.4415472e-06 6.9964740e-06]"
1430,"SAP,168,QCI, ,無法,登入",0,BPM平台系統,4,"[9.9855298e-01 1.1614022e-06 3.9972515e-06 9.2881970e-04 3.9094218e-04
 1.1703404e-04 1.7960654e-06 3.2798600e-06]"
31121,"網管, ,目前,CSMC,出差, , ,電腦,無故,自動,登出, , ,重新,開機,後,輸入,帳號,密碼, , ,無法,使用,網路, , ,無法,正常,收信, , ,關掉,PROXY,則會,當機",6,內部資訊系統,7,"[2.7599011e-05 4.5088651e-03 1.0513411e-03 1.4024217e-05 9.4012375e-06
 2.7179826e-04 9.8700434e-01 7.1126851e-03]"
8745,"SAP,168,QCI, ,帳號,無法,登入, , ,鼎天,Mike, , ,1933",0,BPM平台系統,4,"[9.9846363e-01 1.3620437e-06 4.6954733e-06 1.0122134e-03 3.8110040e-04
 1.3141225e-04 2.0379202e-06 3.6051949e-06]"
9282,"SAP,168,QCI, ,SO, , , ,Delvery,做好, ,SI, ,無法,送出, , ,168",0,BPM平台系統,4,"[9.9840957e-01 1.7920077e-06 6.2708177e-06 1.1443802e-03 2.6597656e-04
 1.6619405e-04 2.4417598e-06 3.3469789e-06]"
5697,"SAP,168,QCI, ,無法,Logon, ,SAP, ,168, ,268",0,BPM平台系統,4,"[9.9802279e-01 1.4225647e-06 4.6590349e-06 1.0902403e-03 7.4194127e-04
 1.3158456e-04 2.2082843e-06 5.1215675e-06]"
8467,"SAP,168,QCI, ,user,反應,說,SAP,PDM,底下,開出,BOM,一致, ,號碼, ,241w5la0052, , ,1741",0,BPM平台系統,4,"[9.9721247e-01 1.7374864e-06 5.4022521e-06 1.2601744e-03 1.3606198e-03
 1.4938839e-04 2.6992993e-06 7.4340787e-06]"
4970,"SAP,168,QCI, ,user,反應,說,使用,ZN26,時會,出現,ERROR, ,MESSAGE, ,解決, ,2611",0,BPM平台系統,4,"[9.9819225e-01 1.6031876e-06 5.2707910e-06 1.0296537e-03 6.2514044e-04
 1.3852354e-04 2.4119499e-06 5.2171799e-06]"
686,"R,D,資訊,系統, ,PLM, ,WEB,檔案,一個,一個,上傳, ,之前,檔案,上傳",6,內部資訊系統,3,"[2.39773653e-05 5.71129657e-03 1.21820241e-03 9.18532533e-06
 1.39293015e-05 1.93467509e-04 9.33152735e-01 5.96772730e-02]"
8857,"SAP,168,QCI, ,User, ,無法,透過, ,Thin, ,Client, ,列印",0,BPM平台系統,4,"[9.9847513e-01 1.6751362e-06 5.8587502e-06 1.0862221e-03 2.6958055e-04
 1.5592962e-04 2.3258785e-06 3.2769815e-06]"
1673,"SAP,168,QCI, ,user,帳號,無法,登入",0,BPM平台系統,4,"[9.9839288e-01 1.2749692e-06 4.3298651e-06 9.9040649e-04 4.8023227e-04
 1.2503497e-04 1.9709930e-06 3.8085698e-06]"
4148,"內部,資訊,系統, ,Lync, ,大陸,無法,撥新,家用,電話,號碼, , ,查詢,中華,電信,回覆,公司,網管,問題, , , , ,家用,電話, , ,03,99",7,網管,6,"[5.8543730e-05 3.0318238e-03 6.7462225e-04 1.1541971e-05 2.6456470e-05
 1.0120382e-04 2.8794745e-01 7.0814836e-01]"
1864,"R,D,資訊,系統, ,新增,QCMC,廠區,別於,維護,User, ,Account,頁面",6,內部資訊系統,3,"[5.8647234e-05 4.6230587e-03 1.2305398e-03 1.6711640e-05 2.8356842e-05
 1.9861857e-04 5.6480974e-01 4.2903435e-01]"
25984,"網管, ,NB,開機,五分鐘,之後,顯示,回應",6,內部資訊系統,7,"[1.4137624e-05 3.5940816e-03 7.7235687e-04 6.4791725e-06 5.8827518e-06
 1.5198914e-04 9.8404574e-01 1.1409296e-02]"
