,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
5148,"BPM,平台,系統,麻煩,抽單,電腦,申單,單號,APP72",6,內部資訊系統,0,"[1.1626941e-02 2.4918797e-03 1.4744347e-03 1.2327991e-04 2.9529530e-05
 1.2259750e-02 9.7199416e-01]"
4526,"GOC,creo,昨天,現在,借不到,license",6,內部資訊系統,2,"[1.5638458e-02 3.1319044e-03 1.9583814e-03 1.7565710e-04 2.5272571e-05
 9.1623720e-03 9.6990800e-01]"
1620,"BPM,平台,系統,MRO,PO,收到,作業,通知,顯示,完成,簽核,但現,無法,進行,收料,簽核,狀態,顯示,簽核",6,內部資訊系統,0,"[2.8429773e-02 5.5829817e-03 3.8488989e-03 4.2375879e-04 3.5878005e-05
 9.2795314e-03 9.5239913e-01]"
33,"BPM,平台,系統,詢問,查詢,固定資產,明細",6,內部資訊系統,0,"[1.4269274e-02 2.9068105e-03 1.7849524e-03 1.5539171e-04 2.6092237e-05
 9.9058393e-03 9.7095156e-01]"
4529,"SAP,168,QCI,MIS,ZWE9,ZMAK,ZM16,報表,加入,item",5,SAP-2X8(QSMC),4,"[3.6253445e-04 2.3453226e-04 1.5874801e-04 9.5226187e-06 2.8345451e-01
 7.1321571e-01 2.5644207e-03]"
422,"BPM,平台,系統,無法開啟,mro2,表單",6,內部資訊系統,0,"[2.1575319e-02 3.9006530e-03 2.5646947e-03 2.3458584e-04 2.5582629e-05
 8.3655845e-03 9.6333361e-01]"
2894,"SAP,2X8,QSMC,user,APO,R2,相關,問題,解決",6,內部資訊系統,5,"[9.0270368e-03 2.1386035e-03 1.2236706e-03 9.8445489e-05 3.9953571e-05
 1.9092914e-02 9.6837944e-01]"
4967,"BPM,平台,系統,我將,31,特休,30,30,特休,取消",6,內部資訊系統,0,"[1.1470810e-02 2.5180946e-03 1.4898087e-03 1.2756209e-04 3.0627223e-05
 1.2578999e-02 9.7178417e-01]"
4703,"內部資訊系統,user,反應,送出,子時,顯示,伺服器錯誤,無法,連絡",0,BPM平台系統,6,"[5.3706908e-01 2.4001455e-02 2.0582305e-02 1.3142878e-03 2.9201552e-04
 2.4175202e-02 3.9256570e-01]"
2099,"SAP,168,QCI,sap,輸入,帳號,密碼,視窗,消失,無法登入",5,SAP-2X8(QSMC),4,"[7.1778172e-04 4.8629139e-04 2.4103398e-04 6.8225609e-06 1.7646283e-03
 9.8660034e-01 1.0183116e-02]"
5151,"SAP,168,QCI,使用,詢問,每次,登入,需要,輸入,驗證,資訊",5,SAP-2X8(QSMC),4,"[4.8551449e-04 3.4304097e-04 2.1800563e-04 1.0578838e-05 9.8320588e-02
 8.9692485e-01 3.6974852e-03]"
393,"CAMP,無法,CAMP,查出,記錄",6,內部資訊系統,1,"[9.8146098e-03 2.2116213e-03 1.2733132e-03 1.0270130e-04 3.2821114e-05
 1.4801659e-02 9.7176319e-01]"
4167,"內部資訊系統,問題,組織,新增,部門,無法使用,主管,代理人,功能",0,BPM平台系統,6,"[8.5598338e-01 3.1935237e-02 2.3587681e-02 1.7311360e-03 2.7934855e-04
 1.2766088e-02 7.3717140e-02]"
4122,"BPM,平台,系統,附件,檔案,無法上傳,單號,App85",6,內部資訊系統,0,"[9.1822119e-03 2.0830974e-03 1.1901350e-03 9.2663802e-05 3.8247013e-05
 1.8283250e-02 9.6913046e-01]"
3353,"BPM,平台,系統,pdf,開啟,MRO,文件,跳出,阻擋,視窗,無法開啟",6,內部資訊系統,0,"[4.2575985e-02 6.4880871e-03 4.6748007e-03 4.6683988e-04 3.7675101e-05
 9.1927238e-03 9.3656391e-01]"
1526,"BPM,平台,系統,查詢,紀錄,下載,excel,點選,無反應",6,內部資訊系統,0,"[1.8871814e-02 3.6384477e-03 2.3491839e-03 2.1891593e-04 2.6313452e-05
 8.8099483e-03 9.6608537e-01]"
3559,"BPM,平台,系統,OPS,申單,無法,送出,簽核,流程,卡住",6,內部資訊系統,0,"[2.1922195e-02 4.0477081e-03 2.6742455e-03 2.5213431e-04 2.6919137e-05
 8.5333567e-03 9.6254349e-01]"
4194,"CAMP,無法,會員,登入,顯示,訊息,無效,帳號,使用,不存,帳號,401",6,內部資訊系統,1,"[1.0889906e-02 2.5418971e-03 1.4947946e-03 1.3177477e-04 3.3220698e-05
 1.3452036e-02 9.7145647e-01]"
319,"CAMP,雲端,硬碟,無法上傳,檔案,無個,資料夾,配置,空間",6,內部資訊系統,1,"[8.9086536e-03 2.0455825e-03 1.1631924e-03 9.0071691e-05 3.7872320e-05
 1.8404322e-02 9.6935028e-01]"
1586,"BPM,平台,系統,目前,出差,大陸,號碼,BPM,標單,進入,系統,一片,空白,試連,項目,正常",6,內部資訊系統,0,"[3.3083614e-02 5.6290980e-03 3.9675282e-03 4.0698977e-04 3.3404154e-05
 8.7239780e-03 9.4815546e-01]"
5224,"BPM,平台,系統,放行,申單,APP87,勾選,轉不,回廠,產生,申單,APP31,回廠,原因,寫錯,修改,抽單,想重,新申,發現,放行,APP87,轉不,回廠,選項,無法,勾選",6,內部資訊系統,0,"[3.9362971e-02 7.3926719e-03 5.3116642e-03 6.0209708e-04 4.7018020e-05
 1.0125768e-02 9.3715781e-01]"
2543,"BPM,平台,系統,使用,反應,總經理室,提出,疑問,單位,某張,MRO,申單,金額,系統,簽核,流程,關卡,簽至,總經理,協處,Ext",6,內部資訊系統,0,"[2.2826698e-02 4.4290922e-03 2.9447696e-03 2.9084599e-04 3.0614716e-05
 9.0789534e-03 9.6039903e-01]"
977,"CAMP,昨天,用版,CAMP,BPM,無法,正常,顯示,加載,轉圈",6,內部資訊系統,1,"[2.4076307e-02 4.3388964e-03 2.9140837e-03 2.7849901e-04 2.7040471e-05
 8.2881497e-03 9.6007705e-01]"
1433,"BPM,平台,系統,APP21,user,反映,簽核,流程,中有,某位,主管,詢問,是否,跳過,主管,另一,主管,簽核",6,內部資訊系統,0,"[1.7289342e-02 3.4600124e-03 2.2012356e-03 2.0217344e-04 2.8545943e-05
 9.7207623e-03 9.6709788e-01]"
