,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
24627,"登入,時,顯示,服務,連線,忙碌,中,無法,順利,登入",8,8,1,"[0.13572237 0.05451617 0.04463363 0.16555442 0.05884128 0.01417516
 0.02256343 0.0374681  0.39427638 0.00776533 0.05369689 0.01078684]"
27043,"使用,反應,QCO,斷線,需要,重新,連線,謝謝",8,8,1,"[0.01187141 0.00585781 0.03135108 0.14324628 0.03825907 0.00217879
 0.00432731 0.0185572  0.70779693 0.00208154 0.03182238 0.00265028]"
2320,"安裝,proE,後,無法,正常,開啟,分機,18766",0,0,4,"[8.8967699e-01 8.7283418e-02 6.6817622e-04 1.6886072e-03 1.1676825e-03
 5.5345232e-03 3.1097541e-03 1.0700315e-03 7.2078235e-03 3.9300046e-04
 1.4491408e-03 7.5082743e-04]"
8398,"退,舊換新,AN990107817",0,0,3,"[0.22812848 0.17245969 0.02361148 0.21763377 0.05529808 0.01599189
 0.04409786 0.02523822 0.16146271 0.00542636 0.0331245  0.01752695]"
6726,"座位,網路,孔,無法,使用,請,幫忙,處理,謝謝",1,1,8,"[0.09807394 0.7468091  0.00141781 0.03540933 0.0118846  0.00942252
 0.06168811 0.0023738  0.00349766 0.00130464 0.00245395 0.0256645 ]"
28212,"電腦,故障,執行,應用,程式,時,系統,要求,重新,安裝,資料,亦,遺失",8,8,3,"[0.03093865 0.02465203 0.05118423 0.2699536  0.08264235 0.00735929
 0.01795829 0.03321294 0.4126388  0.00655919 0.05116935 0.01173124]"
23783,"使用,本機,Outlook,QCO,權限,移除",3,3,1,"[1.4892718e-03 1.0709859e-02 6.6722217e-03 8.2513624e-01 6.5119788e-02
 5.9636950e-04 1.0357786e-02 3.7906559e-03 5.8262520e-02 5.6964206e-04
 7.0405602e-03 1.0255128e-02]"
12513,"網路,不通,,,網孔,編號,PD03,C051,請,幫忙,問題",1,1,8,"[0.08962498 0.72672576 0.00170147 0.04649661 0.01457315 0.00964085
 0.06989535 0.00272856 0.00412308 0.00148404 0.0028931  0.03011297]"
345,"印表機,無法,列印",0,0,3,"[0.41535956 0.25109816 0.01370508 0.09417116 0.03228089 0.02072863
 0.04342525 0.01629077 0.07099088 0.00500007 0.0208098  0.01613982]"
29382,"公司,是否,win7,軟體,安裝,是否,需要,付費,分機,18872",0,0,3,"[8.9945161e-01 8.0319323e-02 5.7991577e-04 1.3533183e-03 9.8136067e-04
 5.1932842e-03 2.7002040e-03 9.3975558e-04 6.2152031e-03 3.5398337e-04
 1.2675454e-03 6.4439874e-04]"
15637,"AP950100581,第二台,以上,電腦,帳戶,移除",0,0,3,"[8.0072308e-01 1.5104815e-01 1.4430379e-03 5.8298605e-03 3.0255951e-03
 7.9755448e-03 7.0253341e-03 2.2175049e-03 1.5239075e-02 6.8998366e-04
 2.9547915e-03 1.8280543e-03]"
18878,"換新,電腦,需,重新,設定,VPN,帳號",0,0,8,"[0.75122887 0.11924043 0.00526448 0.01736914 0.00827919 0.01274896
 0.01138444 0.00710544 0.05230959 0.0020275  0.0096241  0.00341772]"
14857,"連接,不順,隨時,斷訊,outlook,隨時,斷訊,,,mail,有否,寄出,當掉,無線,有線,連結,不穩",3,3,1,"[1.0455130e-03 8.4887017e-03 5.9747030e-03 8.4089297e-01 6.4290136e-02
 4.9187295e-04 9.0967165e-03 3.3120262e-03 4.9753692e-02 5.0786568e-04
 6.1904322e-03 9.9552562e-03]"
