,1_sentence,2_sentence,3_y_predict,4_y_predict_name,5_answer,6_answer,7_y_predict_probability
8463,廠商、客人寄來的附件都被系統擋住。,"網管,Outlook,郵件,Outlook,附件,無法開啟,廠商,客人,寄來,附件,系統,擋住",3,QCO,2,Outlook與郵件,"[4.2863650e-04 9.0280850e-04 6.2238984e-02 8.7172782e-01 3.5255379e-04
 3.3711220e-04 7.3888083e-04 2.0204445e-02 2.3199010e-03 6.8344077e-04
 3.5533030e-03 7.7781803e-03 1.0615145e-02 3.5778247e-03 4.7018514e-03
 6.4124318e-04 5.4921871e-03 3.7056662e-03]"
3711,一直出現防毒保護的警告,"網管,電腦,防毒,防毒,軟體,操作,防毒,出現,防毒,保護,警告",12,商務用Skype,17,電腦防毒,"[0.00205062 0.00129508 0.01257323 0.01526784 0.00121651 0.00384458
 0.00171418 0.07082329 0.04288836 0.00182245 0.01784851 0.02451285
 0.37109458 0.03624909 0.00302869 0.00749074 0.1658094  0.22046997]"
11710,連線至客戶網頁無法進行download#12452,"網管,網頁,Skype,下載,檔案,失敗,下載,檔案,失敗,連線至,客戶,網頁,無法,進行,download",10,其他,16,連網頁/Skype,"[0.00369314 0.00221872 0.01532285 0.01814872 0.00255516 0.00608018
 0.0019583  0.04105323 0.07706138 0.00301998 0.24629807 0.01377627
 0.14150237 0.15919442 0.00390212 0.00491414 0.03750783 0.22179309]"
1455,#15116  outlook 點選薪資信件後無法開啟，執行「\\qrdcfs01\RMSclient\RMSClientCache.bat」也仍舊無法執行,"網管,解密,郵件,文件,加密,郵件,打不開,無法開啟,薪資單,outlook,點選,薪資,信件,無法開啟,執行,qrdcfs01,RMSclient,RMSClientCache,bat,無法,執行",2,Outlook與郵件,11,加解密郵件/文件,"[0.0012672  0.00285803 0.33318707 0.14260939 0.00248957 0.00154365
 0.00368251 0.08534149 0.02009393 0.00171575 0.00258892 0.07001255
 0.10105326 0.01349248 0.00449004 0.00882694 0.17746504 0.02728217]"
10053,"客人寄送附件檔, 已zip 並加上密碼, 但收到時, 附件顯示:已刪除此附件","網管,Outlook,郵件,Outlook,附件,無法開啟,客人,寄送,附件,zip,密碼,收到,附件,顯示,附件",3,QCO,2,Outlook與郵件,"[5.7972310e-04 1.2418217e-03 8.3833247e-02 8.4266812e-01 4.6037568e-04
 4.2988575e-04 9.7783888e-04 1.9849839e-02 2.8161665e-03 9.7355113e-04
 5.1674470e-03 8.0954358e-03 1.1491241e-02 4.3979529e-03 6.5538120e-03
 7.0075190e-04 5.5957679e-03 4.1670208e-03]"
7570,"Lync 電話選項有時會消失, 即使出現了也會一片空白沒有虛擬鍵盤,  用搜尋列也無法打電話, 有試著重開過也是一樣,版本4.0.7577.0 為公司系統內建, 也有重安裝過操作手冊指示的版本,","網管,商務,Skype,無法,打電話,無法,打電話,Lync,電話,選項,時會,消失,出現,一片,空白,虛擬,鍵盤,搜尋,無法,打電話,試著,重開,過也,版本,4.0,7577.0,公司,系統,內建,重安,裝過,操作手,指示,版本",14,網路,12,商務用Skype,"[0.00197884 0.00079778 0.02088499 0.03033538 0.00167017 0.00456511
 0.00110935 0.01190205 0.04137414 0.0016074  0.11617742 0.00629352
 0.07373402 0.03167876 0.5515366  0.00382879 0.01382245 0.08670318]"
14144,詢問是否可增加增加收件者群組  分機：11050,"網管,Outlook,郵件,Outlook,詢問,是否,增加,增加,收件,群組",3,QCO,2,Outlook與郵件,"[5.2434177e-04 1.1163695e-03 9.5609136e-02 8.3687806e-01 4.0606497e-04
 3.8043372e-04 8.6584286e-04 1.8656315e-02 2.4693222e-03 8.8126084e-04
 4.3539018e-03 7.6525118e-03 1.0713448e-02 3.9363685e-03 6.1739483e-03
 6.4929703e-04 5.0469334e-03 3.6863936e-03]"
1999,"SSLVPN與QCO登入時皆出現帳戶已停用的訊息,請協助確認處理","網管,VPN,連線,SSLVPN,無法登入,SSLVPN,QCO,入時,出現,帳戶,停用,訊息,確認",12,商務用Skype,7,VPN連線,"[0.00191825 0.00145944 0.01499256 0.01710038 0.00131666 0.00371992
 0.00190728 0.07175525 0.0288556  0.00177236 0.00975736 0.03490657
 0.37455237 0.02665341 0.00223179 0.00795004 0.21567787 0.18347284]"
8631,"瀏覽網頁時, OfficeScan會一直跳出顯示電腦中毒。","網管,電腦,防毒,電腦病毒,電腦中毒,瀏覽,網頁,OfficeScan,跳出,顯示,電腦中毒",12,商務用Skype,17,電腦防毒,"[0.00263521 0.00142688 0.01706625 0.02224733 0.00157757 0.00422588
 0.00187824 0.08478138 0.03998609 0.00212505 0.01855245 0.02844251
 0.33234307 0.05384079 0.00301573 0.00660043 0.1831454  0.19610973]"
15775,斷線後重連QCO，出現文字   [因為通訊協定錯誤，工作階段的連線將被中斷，請嘗試重新連線到遠端連線。]     無法登入。,"網管,QCO,雲端,連線,無法登入,斷線,重連,QCO,出現,文字,通訊,協定,錯誤,工作,階段,連線,將被,中斷,嘗試,連線到,遠端,連線,無法登入",12,商務用Skype,3,QCO,"[0.00204169 0.00164968 0.01382039 0.01776123 0.00145558 0.00412775
 0.00229583 0.06996588 0.04306747 0.00207391 0.01612205 0.03414997
 0.3688047  0.032058   0.00357077 0.00963988 0.18093301 0.19646215]"
