,1_sentence,2_sentence,3_y_predict,4_y_predict_name,5_answer,6_answer,7_y_predict_probability
6453,"客人,指定,項目,申請,簽核通知,單號,簽到,Tammy,Lo,表單,簽核,按鈕,Tammy,簽核,無法,一關,VP",,2,其他,4,資訊系統,"[1.10932717e-06 5.99229537e-08 9.89384115e-01 8.02699069e-05
 1.05343945e-02]"
6644,"安裝,Program,Editor,SourceInsight,執行,發生,Windows,錯誤,軟體,移除,安裝,無法,改善,解決",,3,網路,2,其他,[0.0000000e+00 3.1907894e-27 1.9334983e-25 1.0000000e+00 0.0000000e+00]
4830,"電腦,出現,法開,情況,啟動,修復,功能,正常,電腦,無法,Log,in,Quanta,Server,目前,Lync,Outlook,使用",,2,其他,3,網路,[8.269259e-04 7.070132e-05 9.424699e-01 5.056321e-03 5.157620e-02]
1026,"轉調,部門,需要,群組,移除,信箱",,2,其他,0,Outlook與郵件,[7.0550339e-09 2.8975020e-09 7.3726320e-01 3.4756711e-06 2.6273328e-01]
5376,"or,cad,license,fail,問題,無法,正常,使用",,3,網路,2,其他,[7.7784702e-05 3.1239053e-03 2.8925538e-02 9.6768636e-01 1.8634043e-04]
3808,"OrCAD,是否,支援,win7,版本",,0,Outlook與郵件,2,其他,[9.9999976e-01 9.2904790e-19 2.4373773e-07 4.9006065e-15 7.4920140e-11]
6255,"IE,網頁,中毒,綁架,首頁",,0,Outlook與郵件,2,其他,[9.8674566e-01 8.8319712e-07 1.3087386e-02 1.8930359e-05 1.4709013e-04]
5958,"OCS,撥打,權限問題,請教",,1,SAP,2,其他,[0.00122503 0.8823864  0.04465633 0.02060673 0.05112558]
5677,"網路,孔不通,IPT,畫面",,1,SAP,3,網路,[6.1428060e-21 1.0000000e+00 2.3421953e-09 4.6260860e-12 1.1712490e-13]
4974,"電腦,即時,監控,發現,ADW,LINKURYTOMB,間諜,程式,出現,即時,監控,畫面,無法,正常,用電,腦上",,3,網路,2,其他,[1.0073221e-19 1.0475255e-11 8.5315435e-11 1.0000000e+00 2.1331215e-17]
6155,"回來,無法使用,網路",,2,其他,3,網路,[0.00756963 0.02120471 0.89944077 0.03459784 0.03718702]
8924,"採購,簽核,送到,法務,單號,APP81",,1,SAP,4,資訊系統,[3.9875679e-13 9.9999416e-01 5.7710004e-06 1.1287480e-07 1.0203356e-08]
1666,"word,excel,outlook,powerpoint,使用,貼上,附件,出現錯誤,無法使用",,0,Outlook與郵件,2,其他,[9.9884027e-01 2.9144704e-11 1.1592380e-03 1.0816404e-08 5.3368643e-07]
7929,"the,second,level,logon,fail",,4,資訊系統,1,SAP,[2.1956781e-08 1.0470186e-06 5.3587875e-05 2.8565958e-06 9.9994254e-01]
2059,"使用,Citrix,登入,SAP,系統,導入,QCICITIRX,SAP,05,RSQUANTA,COM,無法進入",,2,其他,1,SAP,[1.8260891e-15 1.8951075e-13 1.0000000e+00 4.5753071e-11 3.7390320e-11]
2977,"無法登入,系統,無法,申請,交通車,同事,正常,連線,嘗試,開機",,3,網路,4,資訊系統,[1.4762262e-12 4.1422879e-08 4.4991311e-06 9.9999547e-01 7.2724105e-12]
9341,"勒索,病毒,重灌,需要,出差,希望,越快,完成,越好",,3,網路,2,其他,[0.00327729 0.01950466 0.07906799 0.8891587  0.00899135]
