,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
4526,"creo,昨天,到,現在,借不到,license",0,BPM平台系統,2,"[0.45869488 0.03831384 0.03864561 0.1368018  0.04436541 0.0343394
 0.24883905]"
33,"詢問,查詢,固定,資產,明細",4,SAP-168(QCI),0,"[0.28526866 0.02337467 0.02746709 0.07764141 0.3040189  0.14895825
 0.133271  ]"
4460,"無法,新增,專案",4,SAP-168(QCI),3,"[0.03644387 0.00446705 0.00647387 0.0120804  0.70801806 0.21438116
 0.01813558]"
3398,"ECN,NO,E0,1851,转入,218",0,BPM平台系統,5,"[0.41776058 0.05170683 0.04843926 0.16129695 0.01446557 0.01585123
 0.2904796 ]"
422,"無法,開啟,mro2,表單",4,SAP-168(QCI),0,"[0.04877859 0.00590773 0.00832645 0.01606198 0.6776729  0.21897127
 0.02428105]"
2894,"user,APO,R2,相關,問題,解決",0,BPM平台系統,5,"[0.43446785 0.04728746 0.04519689 0.15444684 0.01932684 0.01920778
 0.28006637]"
5309,"點選,預約,會議室,後,系統,無,反應",0,BPM平台系統,6,"[0.39315468 0.05880323 0.05342207 0.17051744 0.00957956 0.01206861
 0.3024544 ]"
453,"Master,Data,Issue",0,BPM平台系統,5,"[0.4660899  0.03491087 0.03582157 0.12985654 0.05488225 0.03936868
 0.23907018]"
4703,"user,反應,說,送出,單子,時,顯示,伺服器,錯誤,無法,申,連絡",0,BPM平台系統,6,"[0.38187352 0.0623314  0.05612271 0.17450777 0.00928411 0.0120979
 0.30378258]"
3487,"User,反應,早上,十點,左右,操作,SAP,298,時,發生,不明,原因,強制,跳出,系統,之後,再,進入,SAP,系統,後,部份,權限,無法,使用,User,使用,T,code,MMB1,MD04,相關,同仁",4,SAP-168(QCI),5,"[0.00714906 0.00152183 0.00242655 0.00318274 0.79104334 0.19067994
 0.00399652]"
2292,"快遞,申單,無法,使用",4,SAP-168(QCI),6,"[0.01615477 0.0021397  0.00331056 0.00554658 0.7700359  0.19479746
 0.00801505]"
4205,"使用,查詢,系統,中,報表,功能,說明,安裝,元件,後,無法,顯示,報表,解決",0,BPM平台系統,6,"[0.41083482 0.05446099 0.05119398 0.16304016 0.01634543 0.01777204
 0.28635252]"
393,"無法,CAMP,查,出勤,記錄",0,BPM平台系統,1,"[0.39106503 0.05880602 0.05323856 0.17126137 0.00899838 0.01151175
 0.3051189 ]"
3130,"無法,進行,issue,analysis,出現,下列,錯誤,訊息,Core,QITS,應用,程式,中,發生,伺服器,錯誤",4,SAP-168(QCI),3,"[0.01325734 0.00229511 0.00353386 0.00524322 0.7675965  0.20111473
 0.00695925]"
4167,"問題,組織,新增,部門,後,現在,無法,使用,主管,代理人,功能",4,SAP-168(QCI),6,"[0.04647798 0.00669765 0.00936607 0.01666588 0.66774297 0.22877853
 0.02427092]"
4462,"Cost,BOM,Create,issue",0,BPM平台系統,4,"[0.42588818 0.04961146 0.04684993 0.15824276 0.01581937 0.01672365
 0.28686464]"
1454,"USER,反應,ES5A,無法,扣帳,修改,Cost,center,相關,人員,3099",0,BPM平台系統,5,"[0.39458928 0.05849186 0.05327616 0.17025135 0.01041167 0.01286962
 0.30011004]"
381,"GAMS,門禁,申有,問題,7283",4,SAP-168(QCI),6,"[0.059842   0.00679302 0.00946517 0.0190012  0.6562667  0.21922995
 0.02940206]"
1261,"QSIT,BDC,995,project,沒辦法,start,project,出現,Data,Failed,洽,MIS,系統,管理",0,BPM平台系統,3,"[0.39143217 0.05959785 0.05451588 0.17115486 0.01120713 0.01371805
 0.29837403]"
4987,"SAP218,BOM,匯出,excel,出現,存取,錯誤",0,BPM平台系統,5,"[0.43823597 0.03054403 0.03258135 0.11440629 0.11123336 0.06742769
 0.20557132]"
4660,"sap,下單,時,顯示,reject,訂單,知道,原因,造成",4,SAP-168(QCI),5,"[1.5238406e-03 2.4435652e-04 4.4782207e-04 6.0707243e-04 8.6810017e-01
 1.2832035e-01 7.5632811e-04]"
1046,"延展,無法,帶出,廠商,資料",4,SAP-168(QCI),6,"[0.07294912 0.00817596 0.011163   0.02313652 0.62890226 0.21960089
 0.03607219]"
1871,"Platform,can,t,be,created,It,will,pop,error,mesaage",0,BPM平台系統,3,"[0.4228076  0.02918119 0.0315448  0.10889088 0.13453363 0.07822046
 0.19482143]"
5105,"T,Code,VK12,維護,價格,T,Code,VK13,查詢,時,價格,變成,100,倍",0,BPM平台系統,4,"[0.39166462 0.05942953 0.05416718 0.17103396 0.01038743 0.01296236
 0.30035496]"
1268,"Hi,家裡,ProE,連上,OpenVPN,打開,ProE,慢,試圖,連上,WorkSpace,不斷,停留,運轉,狀態,連不,當掉,成功,使用,同仁,問題,問該,解決",0,BPM平台系統,3,"[0.4406205  0.0422395  0.04249603 0.14116833 0.04807719 0.03795363
 0.24744484]"
279,"User,使用,VK11,upload,price,了解,該用,哪支,T,code,做,查詢",0,BPM平台系統,4,"[0.40210557 0.05603011 0.05166677 0.16725308 0.01167248 0.01385931
 0.29741263]"
2718,"APO,專案,欲,討論,自動,開工,code,Sworm",0,BPM平台系統,4,"[0.4011465  0.05628843 0.05173284 0.16782221 0.01120586 0.01342587
 0.2983783 ]"
5070,"268,系統,warehouse,無法,扣帳",0,BPM平台系統,5,"[0.41235211 0.05305458 0.04925666 0.16359614 0.01272876 0.01450076
 0.29451093]"
4194,"無法,會員,登入,顯示,訊息,無效,帳號,使用,存在,帳號,401",4,SAP-168(QCI),1,"[0.01827499 0.00277623 0.00419334 0.00673738 0.75288045 0.20571126
 0.00942637]"
319,"雲端,硬碟,無法,上傳,檔案,無個,人,資料夾,無,配置,空間",0,BPM平台系統,1,"[0.4382683  0.04604624 0.04452794 0.15165116 0.0241643  0.02271445
 0.27262756]"
977,"昨天,用版,CAMP,開,BPM,時,無法,正常,顯示,加載,轉圈,中",0,BPM平台系統,1,"[0.38363066 0.06156308 0.055344   0.17374924 0.00856738 0.01128612
 0.30585945]"
925,"298,無法,logon,修改,路徑,完成",4,SAP-168(QCI),5,"[0.19098349 0.0188916  0.02330496 0.05738494 0.4246794  0.19121107
 0.09354462]"
4004,"Delivery,開,SO,120",0,BPM平台系統,4,"[0.41551435 0.05220169 0.04865281 0.1623819  0.01332913 0.01493552
 0.2929846 ]"
