description,category_a,category_b,category_c,category_d,category
"無法會員登入,顯示訊息:無效的帳號或使用者不存在。帳號:96122401",CAMP,CAMP,CAMP,CAMP,資訊系統
因今天有事請假，要補登先前的加班，但開啟camp後，出勤表單顯示的內容看起來像測試的，沒有最近的時間也沒辦法使用，(已登出重登，但狀況還是一樣) 煩請協助確認是否資料異常?  因有事外出，請早上10點過後聯繫，感謝。,CAMP,CAMP,CAMP,CAMP,資訊系統
"手機簽核BPM有問題,都顯示亂碼  #18227",CAMP,CAMP,CAMP,CAMP,資訊系統
無法在手機上面使用CAMP進行表單簽核動作。分機：17132,CAMP,CAMP,CAMP,CAMP,資訊系統
帳號鎖住,CAMP,CAMP,CAMP,CAMP,資訊系統
系統無法登入,CAMP,CAMP,CAMP,CAMP,資訊系統
無法打開報單資料,CAMP,CAMP,CAMP,CAMP,資訊系統
"出差同仁無法登入camp, 委請同事詢問",CAMP,CAMP,CAMP,CAMP,資訊系統
無法加入專案,CAMP,CAMP,CAMP,CAMP,資訊系統
手機APP通知關不掉,CAMP,CAMP,CAMP,CAMP,資訊系統
"請問一下，為什麼我進入CAMP，在會員中心點選""應用程式""卻找不到""研發服務雲""可點選?  該如何解決?",CAMP,CAMP,CAMP,CAMP,資訊系統
用手機CAMP要簽核電腦外帶攜出申請單，出現應用程式發生錯誤 #15189,CAMP,CAMP,CAMP,CAMP,資訊系統
研發服務雲 > 偕同開發 > 新增專案 : 無法新增 J51 or J51D 專案 for PCB 發包( Error Code: 相同專案名稱已存在),CAMP,CAMP,CAMP,CAMP,資訊系統
"進入 CAMP 「研發服務雲」的icon 沒有進一步的資訊 , 畫面空白,沒有發包選單",CAMP,CAMP,CAMP,CAMP,資訊系統
"在CAMP平台點選""應用程式""找不到""研發服務雲""可以點選，請問該如何解決?",CAMP,CAMP,CAMP,CAMP,資訊系統
預報加班系統異常.主管簽核完成後仍然顯示預報中.,CAMP,CAMP,CAMP,CAMP,資訊系統
"想確認一下CAMP Drive 不能使用,點選進去顯示: 已配置空間：0G　已使用空間：20.9 KB , 之前是關閉雲端, 現在是用本機收信,是否跟這個有相關, 謝謝~",CAMP,CAMP,CAMP,CAMP,資訊系統
材料異常管理流程有疑問,CAMP,CAMP,CAMP,CAMP,資訊系統
我在 20181008 有用手機的 CAMP (我的出勤) 來申報加班 (20181004)  因為我要完成上星期的加班申請  我還送了二次，確定都有點 Trans it  但是，結果是根本沒送出去...   請問這該怎麼辦?,CAMP,CAMP,CAMP,CAMP,資訊系統
Error code 88,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
無法進入SAP268，請幫忙處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
218用部門帳號進不去  ext.15856,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
218無法登入login失敗,SAP-2X8(QSMC),Basis,帳號,新申請,SAP
SAP218 無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
帳號登入多次錯誤被鎖  Ext.17561,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
無法登入SAP,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
連不上218,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
298無法logon --修改路徑完成,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
298無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
無法登入顯示CS33錯誤,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
帳號無法使用,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
218帳號無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
"使用者登入SAP,出現 Error Message_Type_X 的錯誤訊息.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP
下面issue 無法open…完成後會跳到另外一個issue   但原本issue 未Open完成      再麻煩幫忙看一下  感謝了!!      T-0029131 The screen is lag while the system is recording by Metro UI and Arcosoft 2.High Camera Firmware Draft Open The screen is lag while the system is recording by Metro UI and Arcosoft 6.2.9200.225 logo R1100V8 RC1 Win8.1-64 KR1A 2013/11/21 下午 05:04:41 Shan Chen,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統
