description,category_a,category_b,category_c,category_d,category,description_clean,category_target
Error code 88,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,error code 88,1
無法進入SAP268，請幫忙處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap268,1
218用部門帳號進不去  ext.15856,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,218用部門帳號進不去,1
218無法登入login失敗,SAP-2X8(QSMC),Basis,帳號,新申請,SAP-2X8,218login失敗,1
SAP218 無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,sap218,1
帳號登入多次錯誤被鎖  Ext.17561,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,帳號登入錯誤被鎖,1
連不上218,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,連不上218,1
298無法logon --修改路徑完成,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,298無法logon 路徑完成,1
298無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,298無法login,1
無法登入顯示CS33錯誤,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,顯示cs33錯誤,1
218帳號無法登入,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,218帳號,1
"使用者登入SAP,出現 Error Message_Type_X 的錯誤訊息.",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP-2X8,登入sap出現 error message_type_x 的錯誤訊息,1
使ECN:E200510-0770尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,使ecne0儘快在268生效,1
298   MM02   quanta PN#   Sales view  沒有maintain  quanta PN#: FAQN9001011    分機: 2649,SAP-2X8(QSMC),SD,Master Data,Sales view maintain,SAP-2X8,298   mm02   quanta pn   sales view  沒有maintain  quanta pn faqn11,1
"USER反應ECN已經到SAP168,但在SAP268還找不到資料,煩請相關同仁協助處理.",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,ecn已經到sap168但在sap268還資料相關,1
資料送不過去EC系統,SAP-2X8(QSMC),PP,ECN,放量,SAP-2X8,資料送去ec系統,1
E200509-4814   FBS04001016应变为FR状态,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,e9   fbs應變為fr狀態,1
"新增customer 資料,送出後看不到付款方式",SAP-2X8(QSMC),SD,Master Data,Customer issue,SAP-2X8,新增customer 資料送出後看不到付款方式,1
希望使ECN：E200509-3959，E200510-0181 尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,希望使ecne99e0 儘快在268生效,1
"User 反應 218端BOM 用量不對,料號3123MMB00B5,請速連繫# 3158",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP-2X8,218端bom 用量料號mmb00b5請速,1
