,1_sentence,2_sentence,3_y_predict,4_y_predict_name,5_answer,6_answer,7_y_predict_probability
8382,"人,國外,更改,密碼,後,無法登入,請,同事,聯繫",,3,網路,2,其他,"['Outlook與郵件:0.033844545', 'SAP:0.11011141', '其他:0.07599695', '網路:0.7615893', '資訊系統:0.018457804']"
3915,"更換,兩,個月,LYNC,顯示,舊,PS,OUTLOOK,正確",,0,Outlook與郵件,2,其他,"['Outlook與郵件:0.96822006', 'SAP:0.0005931533', '其他:0.026429871', '網路:0.00076558505', '資訊系統:0.0039914176']"
3392,"請,加入,Carol,C,紀彥,合,使用權,限",,3,網路,4,資訊系統,"['Outlook與郵件:0.027131144', 'SAP:0.026055478', '其他:0.13742347', '網路:0.7831709', '資訊系統:0.02621913']"
5826,"NB,無法使用,WLAN",,2,其他,3,網路,"['Outlook與郵件:0.023672404', 'SAP:0.02190558', '其他:0.61822987', '網路:0.2985017', '資訊系統:0.03769047']"
5810,"can,t,log,on",,1,SAP,3,網路,"['Outlook與郵件:0.023465723', 'SAP:0.91671103', '其他:0.029947339', '網路:0.0075118616', '資訊系統:0.022364138']"
1195,"電腦開機,時,出現,保密,防,盜版,認,視窗,知,有無,登入",,0,Outlook與郵件,2,其他,"['Outlook與郵件:0.3638216', 'SAP:0.3508779', '其他:0.0785919', '網路:0.14052927', '資訊系統:0.06617934']"
733,"人,一機,電腦,使用,宣導,通知,帳戶,移出,AP",,3,網路,2,其他,"['Outlook與郵件:0.030017147', 'SAP:0.0452689', '其他:0.12353771', '網路:0.77364755', '資訊系統:0.027528742']"
4407,"FTP,無法登入,FTP,10.241,118.2",,2,其他,3,網路,"['Outlook與郵件:0.00000081877903', 'SAP:0.00000015951376', '其他:0.9996842', '網路:0.00030491766', '資訊系統:0.000009934291']"
6220,"WEBMAIL,改,密碼,後,無法登入,無法,無法再用,WEBMAIL,改,密碼",,3,網路,2,其他,"['Outlook與郵件:0.0052401754', 'SAP:0.004255989', '其他:0.1321069', '網路:0.8551033', '資訊系統:0.0032935806']"
5041,"收發,email,嚴重,延遲,15,分鐘",,3,網路,0,Outlook與郵件,"['Outlook與郵件:0.034591474', 'SAP:0.011358357', '其他:0.030539762', '網路:0.91191363', '資訊系統:0.011596843']"
6422,"返台,業務,遺忘,QCI,登入帳號,密碼,聯繫,方式",,3,網路,2,其他,"['Outlook與郵件:0.0018157924', 'SAP:0.0012523455', '其他:0.016122624', '網路:0.9795546', '資訊系統:0.0012546083']"
5487,"軟體需求,資產編號,出不來,空,無法使用",,2,其他,4,資訊系統,"['Outlook與郵件:0.07385554', 'SAP:0.09106005', '其他:0.48809063', '網路:0.14427193', '資訊系統:0.20272183']"
3949,"QRDCSF01,路徑,權限",,1,SAP,2,其他,"['Outlook與郵件:0.09077798', 'SAP:0.5497455', '其他:0.19230281', '網路:0.0703397', '資訊系統:0.09683407']"
1672,"無法連到,公司,印表機,QRDC,印表機,Server,QRDC,印表機,Server,出現,0x,找不到,網路,路徑",,3,網路,2,其他,"['Outlook與郵件:0.0000023903035', 'SAP:0.0000009485067', '其他:0.0107415235', '網路:0.9892537', '資訊系統:0.0000015670746']"
8243,"forget,password",,1,SAP,2,其他,"['Outlook與郵件:0.08498111', 'SAP:0.6659607', '其他:0.114080794', '網路:0.049822234', '資訊系統:0.0851552']"
429,"Lenovo,要求,tracking,website,as,below,找不到,網頁",,3,網路,2,其他,"['Outlook與郵件:0.008937279', 'SAP:0.004581216', '其他:0.024806695', '網路:0.95646477', '資訊系統:0.005210114']"
6000,"是否,MIS,暫借,Lenovo,tnkPad,充電器,使用",,2,其他,4,資訊系統,"['Outlook與郵件:0.070814975', 'SAP:0.14469707', '其他:0.5163112', '網路:0.13748138', '資訊系統:0.13069531']"
318,"win7,裝,Virtual,PC,linux,64,位元,出現,64,位元,錯誤,virtual,PC,裝不",,3,網路,2,其他,"['Outlook與郵件:0.08751406', 'SAP:0.06817112', '其他:0.14223126', '網路:0.6453577', '資訊系統:0.056725815']"
7506,"無,standard,cost",,1,SAP,4,資訊系統,"['Outlook與郵件:0.0860588', 'SAP:0.65995544', '其他:0.11055593', '網路:0.047946624', '資訊系統:0.09548314']"
2177,"需,安裝,安裝新版,ADS,系統,QCA,IT,給了,一個,LINK,QCI,無法,無法直接,安裝,安裝需,網管,add,an,entry,192.168,80.101,ads,80,101,in,your,localhost,file,to,make,it,work",,1,SAP,3,網路,"['Outlook與郵件:0.23874868', 'SAP:0.57573885', '其他:0.08077825', '網路:0.011039989', '資訊系統:0.09369414']"
533,"OUTLOOK,公用資料夾,無法使用,IE,常會,重複,驗證",,0,Outlook與郵件,3,網路,"['Outlook與郵件:0.9852351', 'SAP:0.0009783937', '其他:0.009055432', '網路:0.0014824691', '資訊系統:0.0032486909']"
