description,category_a,category_a_target
無法透過 CAMP 上SIT 系統 icon 的連接登入. 可否協助看一下這問題,CAMP,1
收到CAMP 簽核表單，開頭CAF_QRDC，不清楚這是什麼簽核表單,CAMP,1
"無法會員登入,顯示訊息:無效的帳號或使用者不存在。帳號:96122401",CAMP,1
因今天有事請假，要補登先前的加班，但開啟camp後，出勤表單顯示的內容看起來像測試的，沒有最近的時間也沒辦法使用，(已登出重登，但狀況還是一樣) 煩請協助確認是否資料異常?  因有事外出，請早上10點過後聯繫，感謝。,CAMP,1
四月中時修改中英文姓名，Outlook已生效，但CAMP仍為舊名字。,CAMP,1
"手機簽核BPM有問題,都顯示亂碼  #18227",CAMP,1
無法在手機上面使用CAMP進行表單簽核動作。分機：17132,CAMP,1
CAMP上的會議室預約系統無法使用，煩請幫忙處理 #13931,CAMP,1
分機: 17451  問題: 使用雲端會議功能時，無法設定預設群組，造成無法繼續選擇會議室預約,CAMP,1
資料不見，沒有顯示表單,CAMP,1
帳號鎖住,CAMP,1
"operation說以前用EC,現在改用CAMP; 廠商要使用CAMP, 但是operation沒有帳號  #385-13107",CAMP,1
iphone安裝完後無法使用,CAMP,1
User 想詢問調撥PO(46)如何操作.,SAP-GS,6
如何開46PO,SAP-GS,6
User wants to know how the T-Code ( ZMAZ ) is calculating the cost  Please help to guide him.,SAP-GS,6
詢問如何查詢QCA及QCG材料庫存,SAP-GS,6
系統無法登入,CAMP,1
無法打開報單資料,CAMP,1
看不到自己的專案表單.,CAMP,1
專案有顯示表單物件空白，昨天還正常,CAMP,1
"出差同仁無法登入camp, 委請同事詢問",CAMP,1
無法加入專案,CAMP,1
手機APP通知關不掉,CAMP,1
"請問一下，為什麼我進入CAMP，在會員中心點選""應用程式""卻找不到""研發服務雲""可點選?  該如何解決?",CAMP,1
用手機CAMP要簽核電腦外帶攜出申請單，出現應用程式發生錯誤 #15189,CAMP,1
研發服務雲 > 偕同開發 > 新增專案 : 無法新增 J51 or J51D 專案 for PCB 發包( Error Code: 相同專案名稱已存在),CAMP,1
"進入 CAMP 「研發服務雲」的icon 沒有進一步的資訊 , 畫面空白,沒有發包選單",CAMP,1
"在CAMP平台點選""應用程式""找不到""研發服務雲""可以點選，請問該如何解決?",CAMP,1
預報加班系統異常.主管簽核完成後仍然顯示預報中.,CAMP,1
"想確認一下CAMP Drive 不能使用,點選進去顯示: 已配置空間：0G　已使用空間：20.9 KB , 之前是關閉雲端, 現在是用本機收信,是否跟這個有相關, 謝謝~",CAMP,1
3/20CAMP跳出資訊告知同仁預報加班簽核不同意，但助理作業看到的資訊為簽核中,CAMP,1
材料異常管理流程有疑問,CAMP,1
我在 20181008 有用手機的 CAMP (我的出勤) 來申報加班 (20181004)  因為我要完成上星期的加班申請  我還送了二次，確定都有點 Trans it  但是，結果是根本沒送出去...   請問這該怎麼辦?,CAMP,1
"在CAMP簽核材料鑑審單後, 卡在 ""系統執行"" 無法進入到下一關, 工廠需要進料, 卡在這些單子無法結單  單號  1700015882   APP0000289258  1700016031   APP0000293274  1700015877   APP0000289235  1700015875   APP0000290033  此外  手機的CAMP最近一打開就黑屏當機, 已經重新下載還是一樣",CAMP,1
"採購有收料記錄但缺invoice的記錄,user詢問,她在168中有一個支ZFT4的程式,是否在318中也有相同的功能的程式可使用",SAP-GS,6
"工號:86042811 在SAP 318系統.   原有T-code: ZM13,ZW29 之功能.   但現在無法使用,顯示無權限,煩請幫忙確認,TKS!   ZM13- Purchase Order Status Daily Report.   ZW29- Purchase Order Invoice Due List.",SAP-GS,6
298進不去,SAP-2X8(QSMC),5
Error code 88,SAP-2X8(QSMC),5
無法進入SAP268，請幫忙處理，謝謝！,SAP-2X8(QSMC),5
218用部門帳號進不去  ext.15856,SAP-2X8(QSMC),5
218無法登入login失敗,SAP-2X8(QSMC),5
SAP218 無法登入,SAP-2X8(QSMC),5
帳號登入多次錯誤被鎖  Ext.17561,SAP-2X8(QSMC),5
無法登入SAP,SAP-2X8(QSMC),5
user 想要撈2x8 舊帳號之report,SAP-2X8(QSMC),5
連不上218,SAP-2X8(QSMC),5
298無法logon --修改路徑完成,SAP-2X8(QSMC),5
298無法login,SAP-2X8(QSMC),5
1開sap citrix帳號  2.權限如95022013,SAP-2X8(QSMC),5
無法登入顯示CS33錯誤,SAP-2X8(QSMC),5
帳號無法使用,SAP-2X8(QSMC),5
218帳號無法登入,SAP-2X8(QSMC),5
"使用者登入SAP,出現 Error Message_Type_X 的錯誤訊息.",SAP-2X8(QSMC),5
"分機 23477 ZT18,ZT19 有問題",SAP-GS,6
使用chrome / IE無法點請假單的日期,BPM平台系統,0
#17083  可登入SAP 但無法上傳BOM，請協助開放SAPFS3bm資料夾權限,SAP-GS,6
ftp://10.243.29.109/SCDPool     無法上傳commitment data 給Cisco,SAP-GS,6
user反應 218退料單 當中5R301 5R305 5R306 無法扣帳,SAP-GS,6
SAP帳號無法登入218，一直被踢出  #18535,SAP-GS,6
user反應今天SAP選擇連線時 找不到新的218,SAP-GS,6
請麗芬協助處理：執行f-28清帳時，帶出的132499外幣調整科目過不去。,SAP-GS,6
user詢問如何灌SAP,SAP-GS,6
下面issue 無法open…完成後會跳到另外一個issue   但原本issue 未Open完成      再麻煩幫忙看一下  感謝了!!      T-0029131 The screen is lag while the system is recording by Metro UI and Arcosoft 2.High Camera Firmware Draft Open The screen is lag while the system is recording by Metro UI and Arcosoft 6.2.9200.225 logo R1100V8 RC1 Win8.1-64 KR1A 2013/11/21 下午 05:04:41 Shan Chen,R&D資訊系統,3
"1. Issue Status秀出來的文字裡面,出現斷行符號,但實際上看不到斷行效果  2. Issue assign出去時,會有通知信告知issue owner,但現在都會漏信,很多人反應都收不到通知",R&D資訊系統,3
Issue owner收不到系統發出的announce mail,R&D資訊系統,3
"QCMC那邊的測試人員反應無法使用QITS系統,原本NB7的使用權限被刪除,如附件一  另外原本已被刪除的權限,現在又跑出來,如附件二  麻煩儘快幫忙處理",R&D資訊系統,3
Chris Wu (吳振瑋)  新增 BU3 bios   人員,R&D資訊系統,3
Please help create new platform-Chipset “AMD Richland”.,R&D資訊系統,3
"QITS -> Analysis -> Issue Type Solving Time  會出現錯誤: ""The ''STATUS'' parameter is missing a value """,R&D資訊系統,3
QITS 建立外部帳號，外部帳號開通後，從 e-mail 提示的 URL 連 QITS 會出現伺服器錯誤  不知道是否跟操作環境有關，有 screenshot 可供參考,R&D資訊系統,3
LCBU-QITS 申請開通 Analysis 功能。  目前 LCBU-QITS 系統缺少 Analysis button 及功能，請協助 enable it，謝謝,R&D資訊系統,3
user的網路無法上網,網管,8
network can''t work,網管,8
無線網路不通 #15318,網管,8
user 反應網路不通  #15318,網管,8
無線網路不通，分機15318,網管,8
電腦無線網路無法啟用,網管,8
"Ｃan''t Login Quanta ,",網管,8
網路連不上,網管,8
10.24.96.162   #17364,網管,8
從 NBDC連線至NB3 FTP server (10.241.88.5) 無法連線，請協助設定,網管,8
無線網路異常 #13785,網管,8
無線網路不通，分機13785,網管,8
"客人網路不通,己有申請訪客網路  分機13785  會議室N307",網管,8
開機無法登入公司網域   #13785,網管,8
無法連網,網管,8
使ECN:E200510-0770尽快在268生效,SAP-2X8(QSMC),5
298   MM02   quanta PN#   Sales view  沒有maintain  quanta PN#: FAQN9001011    分機: 2649,SAP-2X8(QSMC),5
"USER反應ECN已經到SAP168,但在SAP268還找不到資料,煩請相關同仁協助處理.",SAP-2X8(QSMC),5
資料送不過去EC系統,SAP-2X8(QSMC),5
Free sample出貨，不用透過QCI，應該可以直接出給客人；但是user反應現在流程有錯，煩請處理。  382 #25638,SAP-2X8(QSMC),5
E200509-4814   FBS04001016应变为FR状态,SAP-2X8(QSMC),5
BOM 未同步至qsmc,SAP-2X8(QSMC),5
"PDM轉到168已經ok,但是還沒轉到268,QSMC說看不到.謝謝  #3563",SAP-2X8(QSMC),5
"新增customer 資料,送出後看不到付款方式",SAP-2X8(QSMC),5
ECN No. ECN200606-7623 請同步至298,SAP-2X8(QSMC),5
希望使ECN：E200509-3959，E200510-0181 尽快在268生效,SAP-2X8(QSMC),5
sap下單時，一直顯示reject 訂單，不知道是什麼原因造成。,SAP-2X8(QSMC),5
"User 反應 218端BOM 用量不對,料號3123MMB00B5,請速連繫# 3158",SAP-2X8(QSMC),5
MRO系統 收料時出現錯誤。,BPM平台系統,0
"APP0247060 該同仁98100545 吳敏浩已離職,但無法回覆至非驗收狀態,煩請協助取消驗收,,謝謝!!",BPM平台系統,0
MRO2單無權限開啟。分機：213931,BPM平台系統,0
發票作業無法進行,BPM平台系統,0
"#16750, 無法送出，連線逾時",BPM平台系統,0
MRO簽核金額  WEP PO下單金額 ，已先與WEBPO系統 Owner Detoun Chen做詢問但沒結果，開單請求協助，謝謝．  提供異常MRO單號::1800027021(PO no.:1710054610)及1600019395(PO no.:1910026171),BPM平台系統,0
Ext. 38512010  多張BPM申請單無法抽單,BPM平台系統,0
操作問題詢問,BPM平台系統,0
key了發票無法儲存,BPM平台系統,0
在送出MRO申請單時，出現部門分攤比例不可大於100%，但實際加總為100%  分機：17292,BPM平台系統,0
"PO 1900083789已生成,但無法download及預覽內容.謝謝!",BPM平台系統,0
"MRO APP0495106虽已签核完毕，但无法生成PO的问题,  請協助手動轉出PO.",BPM平台系統,0
"採購單號 APP0495106 , PO已經生成,但查不到PO資料. Thanks to your help in advance.",BPM平台系統,0
使用者反應無法進行開單作業，請協助處理，謝謝,BPM平台系統,0
因重覆多填一筆資料請協助抽單:  單號: APP0301514  EXT:11091,BPM平台系統,0
列印資料會產生錯誤  分機:17605,BPM平台系統,0
該單號APP0191183 已簽核，但會計部門卻看不到這個單子已簽核，無法付款  煩請幫忙處理 #12516,BPM平台系統,0
BPM資料無法上傳,BPM平台系統,0
PO編號:1900076847  請幫忙修改發票費用申請稅額:  50000 稅額:2500  30000 稅額:1500  8000    稅額:400  5000    稅額:250,BPM平台系統,0
user無法登入SAP,SAP-GS,6
17364  THIN CLIENT 無發開OUTLOOK,網管,8
#17364    密碼過期,網管,8
登入電腦時會出現此工作站和主要網域間的印任關係失敗的訊息  分機13819,網管,8
開機會停在開機畫面，無法登入系統。分機：18056,網管,8
"顯示Outlook正在關閉, 無法使用, QCO也無法登出",網管,8
"密碼過期 (出差,手機 :18721891596)",網管,8
系統還原後key密碼無法登入。,網管,8
電腦無法登入  15987,網管,8
已申請新帳號戶請將此帳戶Q90030121-3移除,網管,8
AN990112300 Windows 7 專業版6.1 (7601),網管,8
分機: 15116  問題: 網域密碼過期，無法登入網域,網管,8
win7出現非正版軟體訊息,網管,8
Q96031209-1 移除,網管,8
Q96031209-1 移除,網管,8
"orcad所申請的電腦名稱與目前使用電腦名稱不同,不確定是不是這樣導致orcad無法使用",R&D資訊系統,3
oracd出現error(error message: only use less than 60 components),R&D資訊系統,3
之前ORCAD 就常常因為帳號滿   每天要登入多次才能上去 大約花1-2小時   現在 要登入太困難 已經整整3天沒法登入   無法修改線路 案子嚴重延後   請幫忙解決,R&D資訊系統,3
